Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate, Formatted ,,
,Change,,Total Population,"Anne Arundel County, Maryland",4863,,"4,863",,
,Change,,Median Household Income,"Anne Arundel County, Maryland",2584,,"2,584",,
2017,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",13194,,"13,194",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",256870,,"256,870",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1986,,"1,986",,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",12263,,"12,263",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",15180,,"15,180",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",269133,,"269,133",,
2016,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",12139,,"12,139",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",254591,,"254,591",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1904,,"1,904",,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",13349,,"13,349",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",14043,,"14,043",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",267940,,"267,940",,
2015,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",11771,,"11,771",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",253175,,"253,175",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1933,,"1,933",,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",14434,,"14,434",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",13704,,"13,704",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",267609,,"267,609",,
2017,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11642,,"11,642",,
2017,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",49547,,"49,547",,
2017,Employment Status By Education,Employed,Some College,"Anne Arundel County, Maryland",67620,,"67,620",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",111317,,"111,317",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",1497,,"1,497",,
2017,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3437,,"3,437",,
2017,Employment Status By Education,Unemployed,Some College,"Anne Arundel County, Maryland",2835,,"2,835",,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2604,,"2,604",,
2017,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7786,,"7,786",,
2017,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16912,,"16,912",,
2017,Employment Status By Education,NIL,Some College,"Anne Arundel County, Maryland",15786,,"15,786",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13017,,"13,017",,
2016,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11246,,"11,246",,
2016,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",50548,,"50,548",,
2016,Employment Status By Education,Employed,Some College,"Anne Arundel County, Maryland",67314,,"67,314",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",108401,,"108,401",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",1711,,"1,711",,
2016,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3597,,"3,597",,
2016,Employment Status By Education,Unemployed,Some College,"Anne Arundel County, Maryland",3290,,"3,290",,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2617,,"2,617",,
2016,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7695,,"7,695",,
2016,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16350,,"16,350",,
2016,Employment Status By Education,NIL,Some College,"Anne Arundel County, Maryland",16037,,"16,037",,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",12929,,"12,929",,
2015,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11352,,"11,352",,
2015,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",51834,,"51,834",,
2015,Employment Status By Education,Employed,Some College,"Anne Arundel County, Maryland",68141,,"68,141",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",104588,,"104,588",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",1735,,"1,735",,
2015,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3877,,"3,877",,
2015,Employment Status By Education,Unemployed,Some College,"Anne Arundel County, Maryland",3828,,"3,828",,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2670,,"2,670",,
2015,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7758,,"7,758",,
2015,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16097,,"16,097",,
2015,Employment Status By Education,NIL,Some College,"Anne Arundel County, Maryland",15653,,"15,653",,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13176,,"13,176",,
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Anne Arundel County, Maryland",295438,,"295,438",,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",10924,,"10,924",,
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Anne Arundel County, Maryland",282842,,"282,842",,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7683,,"7,683",,
