Work Experience amongst Maryland,,,2015,2016,2017
Gender,,,,,
,Male,,,,
,,Not working,208394,215646,218605
,,part time,41604,36645,38482
,,full time,303423,303729,306486
,Female,,,,
,,Not working,258509,263416,260301
,,part time,63835,64501,66729
,,full time,245155,244027,246452
Race,,,,,
,White,,,,
,,Not working,342011,344754,339477
,,part time,82293,79300,82524
,,full time,417293,407598,405150
,Black/Afr,,,,
,,Not working,81334,79680,84741
,,part time,13243,13059,11688
,,full time,87047,88188,91098
,American,,,,
,,Not working,888,596,802
,,part time,66,38,24
,,full time,535,599,707
,Chinese,,,,
,,Not working,1624,1529,1851
,,part time,1204,671,927
,,full time,3126,2466,4955
,Japanese,,,,
,,Not working,451,598,808
,,part time,56,12,0
,,full time,831,593,326
,Other Asian,,,,
,,Not working,13381,14122,11215
,,part time,3954,3165,2341
,,full time,19197,16991,19923
,Other Race,,,,
,,Not working,6940,11635,16118
,,part time,1107,1306,3878
,,full time,9698,13580,16089
,Two Major,,,,
,,Not working,17637,22038,20103
,,part time,2795,3413,3464
,,full time,10221,15402,13024
,Three or More,,,,
,,Not working,2637,4110,3791
,,part time,181,185,365
,,full time,630,2339,1666
Education,,,,,
,N/A,,,,
,,Not working,39859,39267,37979
,,part time,0,0,0
,,full time,0,0,0
,No School,,,,
,,Not working,32266,31803,29942
,,part time,207,724,472
,,full time,1187,2211,2601
,Nursery,,,,
,,Not working,19506,19493,20489
,,part time,0,0,0
,,full time,0,0,0
,Kindergarten,,,,
,,Not working,11593,15809,14635
,,part time,0,0,0
,,full time,0,0,0
,Grade 1,,,,
,,Not working,14904,13376,13830
,,part time,13,0,0
,,full time,24,24,244
,Grade 2,,,,
,,Not working,12415,12614,14205
,,part time,0,0,0
,,full time,0,0,0
,Grade 3,,,,
,,Not working,15690,14296,13927
,,part time,29,30,270
,,full time,252,252,309
,Grade 4,,,,
,,Not working,12188,12188,14337
,,part time,170,170,170
,,full time,605,605,605
,Grade 5,,,,
,,Not working,16307,16307,16307
,,part time,15,15,15
,,full time,484,484,484
,Grade 6,,,,
,,Not working,14194,14194,14194
,,part time,175,175,175
,,full time,885,885,885
,Grade 7 ,,,,
,,Not working,14440,14440,14440
,,part time,636,636,636
,,full time,904,904,904
,Grade 8 ,,,,
,,Not working,17977,17977,17977
,,part time,389,389,389
,,full time,1970,1970,1970
,Grade 9 ,,,,
,,Not working,17659,17659,17659
,,part time,1016,1016,1016
,,full time,4712,4712,4712
,Grade 10,,,,
,,Not working,14420,14420,14420
,,part time,5400,5400,5400
,,full time,5713,5713,5713
,Grade 11,,,,
,,Not working,15986,15986,15986
,,part time,9174,9174,9174
,,full time,6177,6177,6177
,Grade 12,,,,
,,Not working,6373,6373,6373
,,part time,2355,2355,2355
,,full time,3586,3586,3586
,Regular Highschool Diploma,,,,
,,Not working,64079,64079,64079
,,part time,21622,21622,21622
,,full time,108091,108091,108091
,GED,,,,
,,Not working,10677,10677,10677
,,part time,1934,1934,1934
,,full time,14295,14295,14295
,Some College,,,,
,,Not working,15206,15206,15206
,,part time,6602,6602,6602
,,full time,42263,42263,42263
,1 or more,,,,
,,Not working,31819,31819,31819
,,part time,20764,20764,20764
,,full time,87926,87926,87926
,Associate,,,,
,,Not working,13676,13676,13676
,,part time,8185,8185,8185
,,full time,43162,43162,43162
,Bachlor's,,,,
,,Not working,32708,32708,32708
,,part time,15513,15513,15513
,,full time,132159,132159,132159
,Master's,,,,
,,Not working,16982,16982,16982
,,part time,7453,7453,7453
,,full time,71552,71552,71552
,Professional,,,,
,,Not working,4039,4039,4039
,,part time,1944,1944,1944
,,full time,13187,13187,13187
,Doctoral,,,,
,,Not working,1940,1940,1940
,,part time,1303,1303,1303
,,full time,9444,9444,9444
Poverty,,,,,
,0-25,,,,
,,Not working,37703,42460,35608
,,part time,4643,3154,2548
,,full time,13135,12234,9806
,26-50,,,,
,,Not working,7612,7858,7719
,,part time,2311,2062,1580
,,full time,1912,3492,1828
,51-75,,,,
,,Not working,8776,12653,13169
,,part time,1949,3194,2334
,,full time,3084,4040,4634
,76-100,,,,
,,Not working,10331,11138,12119
,,part time,3626,2254,3193
,,full time,5443,4011,4634
,100-500,,,,
,,Not working,240672,231173,234343
,,part time,45464,42637,46500
,,full time,220284,210842,207062
,501,,,,
,,Not working,161809,173780,175948
,,part time,46906,47848,49056
,,full time,304720,313137,324974
