Work Experience amongst Maryland Workers,,,2015,2016,2017,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,
,,Not working,"65,501","64,032","64,191",,,,,,,,,,,,
,,part time,"9,545","9,073","9,125",,,,,,,,,,,,
,,full time,"71,728","72,651","70,828",,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,
,,Not working,"77,803","75,352","79,684",,,,,,,,,,,,
,,part time,"11,441","9,998","10,082",,,,,,,,,,,,
,,full time,"70,761","75,021","73,283",,,,,,,,,,,,
Race,,,,,,,,,,,,,,,,,
,White,,,,,,,,,,,,,,,,
,,Not working,"76,392","81,331","83,556",,,,,,,,,,,,
,,part time,"12,721","15,961","14,192",,,,,,,,,,,,
,,full time,"73,151","82,753","83,679",,,,,,,,,,,,
,Black,,,,,,,,,,,,,,,,
,,Not working,"57,698","61,081","64,147",,,,,,,,,,,,
,,part time,"7,257","7,926","7,290",,,,,,,,,,,,
,,full time,"64,290","68,447","66,012",,,,,,,,,,,,
,American Indian or Alaska Native,,,,,,,,,,,,,,,,
,,Not working,491,375,383,,,,,,,,,,,,
,,part time,122,193,76,,,,,,,,,,,,
,,full time,464,539,948,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,,,,,
,,Not working,515,417,"1,326",,,,,,,,,,,,
,,part time,160,226,54,,,,,,,,,,,,
,,full time,612,327,971,,,,,,,,,,,,
,Japanese,,,,,,,,,,,,,,,,
,,Not working,31,162,21,,,,,,,,,,,,
,,part time,12,0,0,,,,,,,,,,,,
,,full time,12,10,0,,,,,,,,,,,,
,Other Asian,,,,,,,,,,,,,,,,
,,Not working,"4,707","3,386","4,253",,,,,,,,,,,,
,,part time,"1,109",467,663,,,,,,,,,,,,
,,full time,"3,474","4,342","4,620",,,,,,,,,,,,
,Other Race,,,,,,,,,,,,,,,,
,,Not working,379,735,827,,,,,,,,,,,,
,,part time,143,476,316,,,,,,,,,,,,
,,full time,515,711,697,,,,,,,,,,,,
,Two Major,,,,,,,,,,,,,,,,
,,Not working,"12,288","9,661","10,224",,,,,,,,,,,,
,,part time,"1,472",419,442,,,,,,,,,,,,
,,full time,"4,779","4,265","4,092",,,,,,,,,,,,
,Three or More,,,,,,,,,,,,,,,,
,,Not working,864,"1,702","2,891",,,,,,,,,,,,
,,part time,74,219,95,,,,,,,,,,,,
,,full time,349,743,"2,029",,,,,,,,,,,,
Education,,,,,,,,,,,,,,,,,
,N/A,,,,,,,,,,,,,,,,
,,Not working,"11,342","10,841","11,053",,,,,,,,,,,,
,,part time,0,0,0,,,,,,,,,,,,
,,full time,0,0,0,,,,,,,,,,,,
,No School,,,,,,,,,,,,,,,,
,,Not working,"8,333","8,375","7,904",,,,,,,,,,,,
,,part time,18,12,12,,,,,,,,,,,,
,,full time,313,731,692,,,,,,,,,,,,
,Nursery,,,,,,,,,,,,,,,,
,,Not working,"4,461","5,322","5,003",,,,,,,,,,,,
,,part time,0,0,0,,,,,,,,,,,,
,,full time,0,0,0,,,,,,,,,,,,
