Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Calvert County, Maryland",297,,297,,
,Change,,Median Household Income,"Calvert County, Maryland",3542,,"3,542",,
2017,Employment Status By Disability Status,Employed,Disabled,"Calvert County, Maryland",2344,,"2,344",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Calvert County, Maryland",40799,,"40,799",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Calvert County, Maryland",214,,214,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Calvert County, Maryland",2934,,"2,934",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Calvert County, Maryland",2558,,"2,558",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43733,,"43,733",,
2016,Employment Status By Disability Status,Employed,Disabled,"Calvert County, Maryland",2365,,"2,365",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Calvert County, Maryland",40214,,"40,214",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Calvert County, Maryland",268,,268,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Calvert County, Maryland",3116,,"3,116",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Calvert County, Maryland",2633,,"2,633",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43330,,"43,330",,
2015,Employment Status By Disability Status,Employed,Disabled,"Calvert County, Maryland",2080,,"2,080",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Calvert County, Maryland",40458,,"40,458",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Calvert County, Maryland",181,,181,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Calvert County, Maryland",3119,,"3,119",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Calvert County, Maryland",2261,,"2,261",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43577,,"43,577",,
2017,Employment Status By Education,Employed,Less than Highschool,"Calvert County, Maryland",1127,,"1,127",,
2017,Employment Status By Education,Employed,Highschool,"Calvert County, Maryland",10622,,"10,622",,
2017,Employment Status By Education,Employed,Some College,"Calvert County, Maryland",13396,,"13,396",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Calvert County, Maryland",12585,,"12,585",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Calvert County, Maryland",162,,162,,
2017,Employment Status By Education,Unemployed,Highschool,"Calvert County, Maryland",835,,835,,
2017,Employment Status By Education,Unemployed,Some College,"Calvert County, Maryland",908,,908,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Calvert County, Maryland",349,,349,,
2017,Employment Status By Education,NIL,Less than Highschool,"Calvert County, Maryland",732,,732,,
2017,Employment Status By Education,NIL,Highschool,"Calvert County, Maryland",3233,,"3,233",,
2017,Employment Status By Education,NIL,Some College,"Calvert County, Maryland",2686,,"2,686",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Calvert County, Maryland",1658,,"1,658",,
2016,Employment Status By Education,Employed,Less than Highschool,"Calvert County, Maryland",1177,,"1,177",,
2016,Employment Status By Education,Employed,Highschool,"Calvert County, Maryland",10508,,"10,508",,
2016,Employment Status By Education,Employed,Some College,"Calvert County, Maryland",13458,,"13,458",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Calvert County, Maryland",12085,,"12,085",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Calvert County, Maryland",267,,267,,
2016,Employment Status By Education,Unemployed,Highschool,"Calvert County, Maryland",881,,881,,
2016,Employment Status By Education,Unemployed,Some College,"Calvert County, Maryland",931,,931,,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Calvert County, Maryland",325,,325,,
2016,Employment Status By Education,NIL,Less than Highschool,"Calvert County, Maryland",871,,871,,
2016,Employment Status By Education,NIL,Highschool,"Calvert County, Maryland",3285,,"3,285",,
2016,Employment Status By Education,NIL,Some College,"Calvert County, Maryland",2750,,"2,750",,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Calvert County, Maryland",1759,,"1,759",,
2015,Employment Status By Education,Employed,Less than Highschool,"Calvert County, Maryland",1149,,"1,149",,
2015,Employment Status By Education,Employed,Highschool,"Calvert County, Maryland",10866,,"10,866",,
2015,Employment Status By Education,Employed,Some College,"Calvert County, Maryland",13279,,"13,279",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Calvert County, Maryland",11982,,"11,982",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Calvert County, Maryland",253,,253,,
2015,Employment Status By Education,Unemployed,Highschool,"Calvert County, Maryland",878,,878,,
2015,Employment Status By Education,Unemployed,Some College,"Calvert County, Maryland",861,,861,,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Calvert County, Maryland",319,,319,,
2015,Employment Status By Education,NIL,Less than Highschool,"Calvert County, Maryland",876,,876,,
2015,Employment Status By Education,NIL,Highschool,"Calvert County, Maryland",3249,,"3,249",,
2015,Employment Status By Education,NIL,Some College,"Calvert County, Maryland",2627,,"2,627",,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Calvert County, Maryland",1857,,"1,857",,
