Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Caroline County, Maryland",132,,132,,
,Change,,Median Household Income,"Caroline County, Maryland",1639,,"1,639",,
2017,Employment Status By Disability Status,Employed,Disabled,"Caroline County, Maryland",1132,,"1,132",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Caroline County, Maryland",13305,,"13,305",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Caroline County, Maryland",148,,148,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Caroline County, Maryland",880,,880,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Caroline County, Maryland",1280,,"1,280",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Caroline County, Maryland",14185,,"14,185",,
2016,Employment Status By Disability Status,Employed,Disabled,"Caroline County, Maryland",1217,,"1,217",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Caroline County, Maryland",13006,,"13,006",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Caroline County, Maryland",150,,150,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Caroline County, Maryland",1023,,"1,023",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Caroline County, Maryland",1367,,"1,367",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Caroline County, Maryland",14029,,"14,029",,
2015,Employment Status By Disability Status,Employed,Disabled,"Caroline County, Maryland",1017,,"1,017",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Caroline County, Maryland",13129,,"13,129",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Caroline County, Maryland",222,,222,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Caroline County, Maryland",1104,,"1,104",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Caroline County, Maryland",1239,,"1,239",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Caroline County, Maryland",14233,,"14,233",,
2017,Employment Status By Education,Employed,Less than Highschool,"Caroline County, Maryland",1369,,"1,369",,
2017,Employment Status By Education,Employed,Highschool,"Caroline County, Maryland",5312,,"5,312",,
2017,Employment Status By Education,Employed,Some College,"Caroline County, Maryland",3509,,"3,509",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Caroline County, Maryland",2507,,"2,507",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Caroline County, Maryland",145,,145,,
2017,Employment Status By Education,Unemployed,Highschool,"Caroline County, Maryland",336,,336,,
2017,Employment Status By Education,Unemployed,Some College,"Caroline County, Maryland",260,,260,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Caroline County, Maryland",57,,57,,
2017,Employment Status By Education,NIL,Less than Highschool,"Caroline County, Maryland",1025,,"1,025",,
2017,Employment Status By Education,NIL,Highschool,"Caroline County, Maryland",1487,,"1,487",,
2017,Employment Status By Education,NIL,Some College,"Caroline County, Maryland",855,,855,,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Caroline County, Maryland",279,,279,,
2016,Employment Status By Education,Employed,Less than Highschool,"Caroline County, Maryland",1362,,"1,362",,
2016,Employment Status By Education,Employed,Highschool,"Caroline County, Maryland",5333,,"5,333",,
2016,Employment Status By Education,Employed,Some College,"Caroline County, Maryland",3569,,"3,569",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Caroline County, Maryland",2314,,"2,314",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Caroline County, Maryland",108,,108,,
2016,Employment Status By Education,Unemployed,Highschool,"Caroline County, Maryland",480,,480,,
2016,Employment Status By Education,Unemployed,Some College,"Caroline County, Maryland",235,,235,,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Caroline County, Maryland",49,,49,,
2016,Employment Status By Education,NIL,Less than Highschool,"Caroline County, Maryland",994,,994,,
2016,Employment Status By Education,NIL,Highschool,"Caroline County, Maryland",1542,,"1,542",,
2016,Employment Status By Education,NIL,Some College,"Caroline County, Maryland",823,,823,,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Caroline County, Maryland",276,,276,,
2015,Employment Status By Education,Employed,Less than Highschool,"Caroline County, Maryland",1468,,"1,468",,
2015,Employment Status By Education,Employed,Highschool,"Caroline County, Maryland",4983,,"4,983",,
2015,Employment Status By Education,Employed,Some College,"Caroline County, Maryland",3601,,"3,601",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Caroline County, Maryland",2347,,"2,347",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Caroline County, Maryland",171,,171,,
2015,Employment Status By Education,Unemployed,Highschool,"Caroline County, Maryland",482,,482,,
2015,Employment Status By Education,Unemployed,Some College,"Caroline County, Maryland",311,,311,,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Caroline County, Maryland",66,,66,,
2015,Employment Status By Education,NIL,Less than Highschool,"Caroline County, Maryland",918,,918,,
2015,Employment Status By Education,NIL,Highschool,"Caroline County, Maryland",1562,,"1,562",,
2015,Employment Status By Education,NIL,Some College,"Caroline County, Maryland",924,,924,,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Caroline County, Maryland",270,,270,,
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Caroline County, Maryland",15255,,"15,255",,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Caroline County, Maryland",1506,,"1,506",,
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Caroline County, Maryland",14580,,"14,580",,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Caroline County, Maryland",1094,,"1,094",,
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Caroline County, Maryland",675,,675,,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Caroline County, Maryland",412,,412,,
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Caroline County, Maryland",15072,,"15,072",,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Caroline County, Maryland",1591,,"1,591",,
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Caroline County, Maryland",14307,,"14,307",,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Caroline County, Maryland",1103,,"1,103",,
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Caroline County, Maryland",765,,765,,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Caroline County, Maryland",488,,488,,
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Caroline County, Maryland",15294,,"15,294",,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Caroline County, Maryland",1486,,"1,486",,
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Caroline County, Maryland",14282,,"14,282",,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Caroline County, Maryland",1024,,"1,024",,
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Caroline County, Maryland",1012,,"1,012",,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Caroline County, Maryland",462,,462,,
2017,Median Household Income,,,"Caroline County, Maryland",52469,,"$52,469 ",,
2016,Median Household Income,,,"Caroline County, Maryland",50830,,"$50,830 ",,
2015,Median Household Income,,,"Caroline County, Maryland",52465,,"$52,465 ",,
2017,Total Population,,,"Caroline County, Maryland",32785,,"32,785",,
2016,Total Population,,,"Caroline County, Maryland",32653,,"32,653",,
2015,Total Population,,,"Caroline County, Maryland",32661,,"32,661",,
2017,Unemployment By Gender,,Male,"Caroline County, Maryland",7,0.07,7.00%,,
2017,Unemployment By Gender,,Female,"Caroline County, Maryland",5.6,0.056,5.60%,,
2016,Unemployment By Gender,,Male,"Caroline County, Maryland",7.4,0.074,7.40%,,
2016,Unemployment By Gender,,Female,"Caroline County, Maryland",6.6,0.066,6.60%,,
2015,Unemployment By Gender,,Male,"Caroline County, Maryland",8.5,0.085,8.50%,,
2015,Unemployment By Gender,,Female,"Caroline County, Maryland",7.5,0.075,7.50%,,
2017,Unemployment By Race,,White,"Caroline County, Maryland",5.4,0.054,5.40%,,
2017,Unemployment By Race,,Black,"Caroline County, Maryland",14.2,0.142,14.20%,,
2017,Unemployment By Race,,Asian,"Caroline County, Maryland",5.8,0.058,5.80%,,
2017,Unemployment By Race,,Hispanic,"Caroline County, Maryland",4.2,0.042,4.20%,,
2016,Unemployment By Race,,White,"Caroline County, Maryland",6.4,0.064,6.40%,,
2016,Unemployment By Race,,Black,"Caroline County, Maryland",13.9,0.139,13.90%,,
2016,Unemployment By Race,,Asian,"Caroline County, Maryland",13.2,0.132,13.20%,,
2016,Unemployment By Race,,Hispanic,"Caroline County, Maryland",7.8,0.078,7.80%,,
2015,Unemployment By Race,,White,"Caroline County, Maryland",7.9,0.079,7.90%,,
2015,Unemployment By Race,,Black,"Caroline County, Maryland",14.3,0.143,14.30%,,
2015,Unemployment By Race,,Asian,"Caroline County, Maryland",11.8,0.118,11.80%,,
2015,Unemployment By Race,,Hispanic,"Caroline County, Maryland",6.1,0.061,6.10%,,
2017,Unemployment By Veteran Status,,Veteran,"Caroline County, Maryland",7,0.07,7.00%,,
2017,Unemployment By Veteran Status,,Non Veteran,"Caroline County, Maryland",6.6,0.066,6.60%,,
2016,Unemployment By Veteran Status,,Veteran,"Caroline County, Maryland",6.6,0.066,6.60%,,
2016,Unemployment By Veteran Status,,Non Veteran,"Caroline County, Maryland",7.6,0.076,7.60%,,
2015,Unemployment By Veteran Status,,Veteran,"Caroline County, Maryland",7.5,0.075,7.50%,,
2015,Unemployment By Veteran Status,,Non Veteran,"Caroline County, Maryland",8.6,0.086,8.60%,,
2015Q1,Number of TANF Recipient Workers,Employed,,"Caroline County, Maryland",13,,13,,13
2015Q2,Number of TANF Recipient Workers,Employed,,"Caroline County, Maryland",22,,22,,22
