Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Carroll County, Maryland",-216,,-216,,
,Change,,Median Household Income,"Carroll County, Maryland",3450,,"3,450",,
2017,Employment Status By Disability Status,Employed,Disabled,"Carroll County, Maryland",3704,,"3,704",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Carroll County, Maryland",77928,,"77,928",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Carroll County, Maryland",442,,442,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Carroll County, Maryland",2843,,"2,843",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Carroll County, Maryland",4146,,"4,146",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Carroll County, Maryland",80771,,"80,771",,
2016,Employment Status By Disability Status,Employed,Disabled,"Carroll County, Maryland",3612,,"3,612",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Carroll County, Maryland",78231,,"78,231",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Carroll County, Maryland",502,,502,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Carroll County, Maryland",3200,,"3,200",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Carroll County, Maryland",4114,,"4,114",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Carroll County, Maryland",81431,,"81,431",,
2015,Employment Status By Disability Status,Employed,Disabled,"Carroll County, Maryland",3416,,"3,416",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Carroll County, Maryland",78252,,"78,252",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Carroll County, Maryland",456,,456,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Carroll County, Maryland",3319,,"3,319",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Carroll County, Maryland",3872,,"3,872",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Carroll County, Maryland",81571,,"81,571",,
2017,Employment Status By Education,Employed,Less than Highschool,"Carroll County, Maryland",2887,,"2,887",,
2017,Employment Status By Education,Employed,Highschool,"Carroll County, Maryland",18581,,"18,581",,
2017,Employment Status By Education,Employed,Some College,"Carroll County, Maryland",20788,,"20,788",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Carroll County, Maryland",29410,,"29,410",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Carroll County, Maryland",274,,274,,
2017,Employment Status By Education,Unemployed,Highschool,"Carroll County, Maryland",837,,837,,
2017,Employment Status By Education,Unemployed,Some College,"Carroll County, Maryland",693,,693,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Carroll County, Maryland",558,,558,,
2017,Employment Status By Education,NIL,Less than Highschool,"Carroll County, Maryland",1751,,"1,751",,
2017,Employment Status By Education,NIL,Highschool,"Carroll County, Maryland",5116,,"5,116",,
2017,Employment Status By Education,NIL,Some College,"Carroll County, Maryland",4329,,"4,329",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Carroll County, Maryland",3787,,"3,787",,
2016,Employment Status By Education,Employed,Less than Highschool,"Carroll County, Maryland",3028,,"3,028",,
2016,Employment Status By Education,Employed,Highschool,"Carroll County, Maryland",19067,,"19,067",,
2016,Employment Status By Education,Employed,Some College,"Carroll County, Maryland",21054,,"21,054",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Carroll County, Maryland",28552,,"28,552",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Carroll County, Maryland",338,,338,,
2016,Employment Status By Education,Unemployed,Highschool,"Carroll County, Maryland",929,,929,,
2016,Employment Status By Education,Unemployed,Some College,"Carroll County, Maryland",807,,807,,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Carroll County, Maryland",652,,652,,
2016,Employment Status By Education,NIL,Less than Highschool,"Carroll County, Maryland",1502,,"1,502",,
2016,Employment Status By Education,NIL,Highschool,"Carroll County, Maryland",5079,,"5,079",,
2016,Employment Status By Education,NIL,Some College,"Carroll County, Maryland",4338,,"4,338",,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Carroll County, Maryland",3688,,"3,688",,
2015,Employment Status By Education,Employed,Less than Highschool,"Carroll County, Maryland",3058,,"3,058",,
2015,Employment Status By Education,Employed,Highschool,"Carroll County, Maryland",18860,,"18,860",,
2015,Employment Status By Education,Employed,Some College,"Carroll County, Maryland",21619,,"21,619",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Carroll County, Maryland",28060,,"28,060",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Carroll County, Maryland",383,,383,,
2015,Employment Status By Education,Unemployed,Highschool,"Carroll County, Maryland",957,,957,,
2015,Employment Status By Education,Unemployed,Some College,"Carroll County, Maryland",830,,830,,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Carroll County, Maryland",609,,609,,
2015,Employment Status By Education,NIL,Less than Highschool,"Carroll County, Maryland",1413,,"1,413",,
2015,Employment Status By Education,NIL,Highschool,"Carroll County, Maryland",5158,,"5,158",,
2015,Employment Status By Education,NIL,Some College,"Carroll County, Maryland",4436,,"4,436",,
