Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Cecil County, Maryland",241,, 241 ,,
,Change,,Median Household Income,"Cecil County, Maryland",2578,," 2,578 ",,
2017,Employment Status By Disability Status,Employed,Disabled,"Cecil County, Maryland",2520,," 2,520 ",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Cecil County, Maryland",44870,," 44,870 ",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Cecil County, Maryland",260,, 260 ,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Cecil County, Maryland",2680,," 2,680 ",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Cecil County, Maryland",2780,," 2,780 ",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Cecil County, Maryland",47550,," 47,550 ",,
2016,Employment Status By Disability Status,Employed,Disabled,"Cecil County, Maryland",2571,," 2,571 ",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Cecil County, Maryland",43994,," 43,994 ",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Cecil County, Maryland",297,, 297 ,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Cecil County, Maryland",3030,," 3,030 ",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Cecil County, Maryland",2868,," 2,868 ",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Cecil County, Maryland",47024,," 47,024 ",,
2015,Employment Status By Disability Status,Employed,Disabled,"Cecil County, Maryland",2026,," 2,026 ",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Cecil County, Maryland",44004,," 44,004 ",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Cecil County, Maryland",427,, 427 ,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Cecil County, Maryland",3346,," 3,346 ",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Cecil County, Maryland",2453,," 2,453 ",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Cecil County, Maryland",47350,," 47,350 ",,
2017,Employment Status By Education,Employed,Less than Highschool,"Cecil County, Maryland",2282,," 2,282 ",,
2017,Employment Status By Education,Employed,Highschool,"Cecil County, Maryland",14418,," 14,418 ",,
2017,Employment Status By Education,Employed,Some College,"Cecil County, Maryland",13068,," 13,068 ",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Cecil County, Maryland",11754,," 11,754 ",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Cecil County, Maryland",368,, 368 ,,
2017,Employment Status By Education,Unemployed,Highschool,"Cecil County, Maryland",840,, 840 ,,
2017,Employment Status By Education,Unemployed,Some College,"Cecil County, Maryland",587,, 587 ,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Cecil County, Maryland",406,, 406 ,,
2017,Employment Status By Education,NIL,Less than Highschool,"Cecil County, Maryland",2467,," 2,467 ",,
2017,Employment Status By Education,NIL,Highschool,"Cecil County, Maryland",4530,," 4,530 ",,
2017,Employment Status By Education,NIL,Some College,"Cecil County, Maryland",3177,," 3,177 ",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Cecil County, Maryland",1282,," 1,282 ",,
2016,Employment Status By Education,Employed,Less than Highschool,"Cecil County, Maryland",2303,," 2,303 ",,
2016,Employment Status By Education,Employed,Highschool,"Cecil County, Maryland",14170,," 14,170 ",,
2016,Employment Status By Education,Employed,Some College,"Cecil County, Maryland",13095,," 13,095 ",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Cecil County, Maryland",11183,," 11,183 ",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Cecil County, Maryland",354,, 354 ,,
2016,Employment Status By Education,Unemployed,Highschool,"Cecil County, Maryland",990,, 990 ,,
2016,Employment Status By Education,Unemployed,Some College,"Cecil County, Maryland",563,, 563 ,,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Cecil County, Maryland",466,, 466 ,,
2016,Employment Status By Education,NIL,Less than Highschool,"Cecil County, Maryland",2714,," 2,714 ",,
2016,Employment Status By Education,NIL,Highschool,"Cecil County, Maryland",5085,," 5,085 ",,
2016,Employment Status By Education,NIL,Some College,"Cecil County, Maryland",2812,," 2,812 ",,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Cecil County, Maryland",1482,," 1,482 ",,
2015,Employment Status By Education,Employed,Less than Highschool,"Cecil County, Maryland",1832,," 1,832 ",,
2015,Employment Status By Education,Employed,Highschool,"Cecil County, Maryland",14039,," 14,039 ",,
2015,Employment Status By Education,Employed,Some College,"Cecil County, Maryland",13128,," 13,128 ",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Cecil County, Maryland",11076,," 11,076 ",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Cecil County, Maryland",413,, 413 ,,
2015,Employment Status By Education,Unemployed,Highschool,"Cecil County, Maryland",1114,," 1,114 ",,
2015,Employment Status By Education,Unemployed,Some College,"Cecil County, Maryland",673,, 673 ,,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Cecil County, Maryland",406,, 406 ,,
