Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Charles County, Maryland",1664,," 1,664 ",,
,Change,,Median Household Income,"Charles County, Maryland",2600,," 2,600 ",,
2017,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",2810,," 2,810 ",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Charles County, Maryland",72240,," 72,240 ",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Charles County, Maryland",449,, 449 ,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Charles County, Maryland",3025,," 3,025 ",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Charles County, Maryland",3259,," 3,259 ",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Charles County, Maryland",75265,," 75,265 ",,
2016,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",2637,," 2,637 ",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Charles County, Maryland",71648,," 71,648 ",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Charles County, Maryland",386,, 386 ,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Charles County, Maryland",3389,," 3,389 ",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Charles County, Maryland",3023,," 3,023 ",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Charles County, Maryland",75037,," 75,037 ",,
2015,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",2733,," 2,733 ",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Charles County, Maryland",70592,," 70,592 ",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Charles County, Maryland",488,, 488 ,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Charles County, Maryland",4167,," 4,167 ",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Charles County, Maryland",3221,," 3,221 ",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Charles County, Maryland",74759,," 74,759 ",,
2017,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2440,," 2,440 ",,
2017,Employment Status By Education,Employed,Highschool,"Charles County, Maryland",19099,," 19,099 ",,
2017,Employment Status By Education,Employed,Some College,"Charles County, Maryland",22651,," 22,651 ",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Charles County, Maryland",22474,," 22,474 ",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",377,, 377 ,,
2017,Employment Status By Education,Unemployed,Highschool,"Charles County, Maryland",851,, 851 ,,
2017,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",765,, 765 ,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Charles County, Maryland",345,, 345 ,,
2017,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",2203,," 2,203 ",,
2017,Employment Status By Education,NIL,Highschool,"Charles County, Maryland",5894,," 5,894 ",,
2017,Employment Status By Education,NIL,Some College,"Charles County, Maryland",4902,," 4,902 ",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Charles County, Maryland",2427,," 2,427 ",,
2016,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2371,," 2,371 ",,
2016,Employment Status By Education,Employed,Highschool,"Charles County, Maryland",18933,," 18,933 ",,
2016,Employment Status By Education,Employed,Some College,"Charles County, Maryland",23156,," 23,156 ",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Charles County, Maryland",21294,," 21,294 ",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",351,, 351 ,,
2016,Employment Status By Education,Unemployed,Highschool,"Charles County, Maryland",966,, 966 ,,
2016,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",959,, 959 ,,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Charles County, Maryland",388,, 388 ,,
2016,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",1930,," 1,930 ",,
2016,Employment Status By Education,NIL,Highschool,"Charles County, Maryland",6052,," 6,052 ",,
2016,Employment Status By Education,NIL,Some College,"Charles County, Maryland",5093,," 5,093 ",,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Charles County, Maryland",2222,," 2,222 ",,
2015,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2436,," 2,436 ",,
2015,Employment Status By Education,Employed,Highschool,"Charles County, Maryland",18551,," 18,551 ",,
2015,Employment Status By Education,Employed,Some College,"Charles County, Maryland",22808,," 22,808 ",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Charles County, Maryland",21161,," 21,161 ",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",344,, 344 ,,
2015,Employment Status By Education,Unemployed,Highschool,"Charles County, Maryland",1425,," 1,425 ",,
2015,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",1122,," 1,122 ",,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Charles County, Maryland",434,, 434 ,,
2015,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",1960,," 1,960 ",,
2015,Employment Status By Education,NIL,Highschool,"Charles County, Maryland",5785,," 5,785 ",,
2015,Employment Status By Education,NIL,Some College,"Charles County, Maryland",4790,," 4,790 ",,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Charles County, Maryland",2149,," 2,149 ",,
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Charles County, Maryland",79677,," 79,677 ",,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Charles County, Maryland",2690,," 2,690 ",,
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Charles County, Maryland",76602,," 76,602 ",,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Charles County, Maryland",2027,," 2,027 ",,
