Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Dorchester County, Maryland",-65,,-65,,
,Change,,Median Household Income,"Dorchester County, Maryland",2625,,"2,625",,
2017,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",889,,889,,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",12957,,"12,957",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",280,,280,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",966,,966,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Dorchester County, Maryland",1169,,"1,169",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",13923,,"13,923",,
2016,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",917,,917,,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",12889,,"12,889",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",292,,292,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",1251,,"1,251",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Dorchester County, Maryland",1209,,"1,209",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",14140,,"14,140",,
2015,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",721,,721,,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",13284,,"13,284",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",312,,312,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",1316,,"1,316",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Dorchester County, Maryland",1033,,"1,033",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",14600,,"14,600",,
2017,Employment Status By Education,Employed,Less than Highschool,"Dorchester County, Maryland",1168,,"1,168",,
2017,Employment Status By Education,Employed,Highschool,"Dorchester County, Maryland",4589,,"4,589",,
2017,Employment Status By Education,Employed,Some College,"Dorchester County, Maryland",3578,,"3,578",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Dorchester County, Maryland",2867,,"2,867",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Dorchester County, Maryland",143,,143,,
2017,Employment Status By Education,Unemployed,Highschool,"Dorchester County, Maryland",375,,375,,
2017,Employment Status By Education,Unemployed,Some College,"Dorchester County, Maryland",382,,382,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Dorchester County, Maryland",87,,87,,
2017,Employment Status By Education,NIL,Less than Highschool,"Dorchester County, Maryland",903,,903,,
2017,Employment Status By Education,NIL,Highschool,"Dorchester County, Maryland",1311,,"1,311",,
2017,Employment Status By Education,NIL,Some College,"Dorchester County, Maryland",915,,915,,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Dorchester County, Maryland",292,,292,,
2016,Employment Status By Education,Employed,Less than Highschool,"Dorchester County, Maryland",1119,,"1,119",,
2016,Employment Status By Education,Employed,Highschool,"Dorchester County, Maryland",4545,,"4,545",,
2016,Employment Status By Education,Employed,Some College,"Dorchester County, Maryland",3506,,"3,506",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Dorchester County, Maryland",3095,,"3,095",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Dorchester County, Maryland",185,,185,,
2016,Employment Status By Education,Unemployed,Highschool,"Dorchester County, Maryland",488,,488,,
2016,Employment Status By Education,Unemployed,Some College,"Dorchester County, Maryland",385,,385,,
