Work Experience amongst Maryland Workers,,,2015,2016,2017
Gender,,,,,
,Male,,,,
,,Not working,"89,781","92,946","92,939"
,,part time,"16,382","18,665","18,410"
,,full time,"132,135","131,057","133,873"
,Female,,,,
,,Not working,"113,978","112,341","117,159"
,,part time,"30,549","30,285","29,296"
,,full time,"103,625","105,859","106,583"
Race,,,,,
,White,,,,
,,Not working,"161,877","162,836","165,657"
,,part time,"38,167","40,759","40,246"
,,full time,"196,267","195,143","194,707"
,Black,,,,
,,Not working,"18,871","22,728","19,238"
,,part time,"4,691","3,842","3,858"
,,full time,"19,949","22,492","20,929"
,American Indian or Alaska Native,,,,
,,Not working,"6,538","6,980","7,880"
,,part time,"1,887","2,190","1,424"
,,full time,"8,423","9,912","10,166"
,Chinese,,,,
,,Not working,"2,381","1,498","2,236"
,,part time,86,90,199
,,full time,"1,473",638,"1,621"
,Japanese,,,,
,,Not working,167,44,422
,,part time,13,186,46
,,full time,397,113,178
,Other Asian,,,,
,,Not working,"6,538","6,980","7,880"
,,part time,"1,887","2,190","1,424"
,,full time,"8,423","9,912","10,166"
,Other Race,,,,
,,Not working,"3,238","2,595","3,333"
,,part time,663,579,405
,,full time,"4,022","3,146","5,482"
,Two Major,,,,
,,Not working,"9,398","7,961","9,911"
,,part time,"1,366","1,038","1,387"
,,full time,"3,685","3,801","5,102"
,Three or More,,,,
,,Not working,968,522,866
,,part time,20,224,29
,,full time,513,512,"1,383"
Education,,,,,
,N/A,,,,
,,Not working,"17,450","15,631","17,465"
,,part time,0,0,0
,,full time,0,0,0
,No School,,,,
,,Not working,"11,904","12,253","11,708"
,,part time,430,531,394
,,full time,"2,188","1,240","1,266"
,Nursery,,,,
,,Not working,"8,934","9,245","9,239"
,,part time,0,0,0
,,full time,0,0,0
,Kindergarten,,,,
,,Not working,"6,528","6,903","7,199"
,,part time,0,0,0
,,full time,0,0,0
,Grade 1,,,,
,,Not working,"4,912","6,482","5,019"
,,part time,0,0,0
,,full time,0,0,0
,Grade 2,,,,
,,Not working,"5,645","6,474","5,388"
,,part time,0,0,0
,,full time,56,59,10
,Grade 3,,,,
,,Not working,"7,194","6,157","6,368"
,,part time,11,11,10
,,full time,33,93,10
,Grade 4,,,,
,,Not working,"7,019","7,328","6,291"
,,part time,0,75,13
,,full time,55,23,24
,Grade 5,,,,
,,Not working,"6,785","5,698","6,336"
,,part time,0,0,0
,,full time,128,42,29
,Grade 6,,,,
,,Not working,"7,252","7,747","7,883"
,,part time,0,0,0
,,full time,821,"1,028",568
,Grade 7 ,,,,
,,Not working,"8,319","7,898","10,465"
,,part time,46,42,205
,,full time,545,146,80
,Grade 8 ,,,,
,,Not working,"10,303","7,762","8,738"
,,part time,108,180,176
,,full time,422,782,789
,Grade 9 ,,,,
,,Not working,"7,581","8,264","7,144"
,,part time,252,"1,142",404
,,full time,"1,114","1,722","1,268"
,Grade 10,,,,
,,Not working,"8,440","8,244","8,300"
,,part time,"1,246","1,772","2,110"
,,full time,"2,251","2,069","1,442"
,Grade 11,,,,
,,Not working,"6,393","5,893","6,089"
,,part time,"2,872","3,651","3,832"
,,full time,"2,452","2,102","1,962"
,Grade 12,,,,
,,Not working,"1,920","2,028","2,455"
,,part time,663,"1,083",907
,,full time,"1,731","2,080","2,709"
,Regular Highschool Diploma,,,,
,,Not working,"25,476","27,518","27,899"
,,part time,"9,833","9,847","10,015"
,,full time,"50,386","48,214","43,107"
,GED,,,,
,,Not working,"2,763","4,096","2,998"
,,part time,"1,081",730,715
,,full time,"4,703","4,391","4,855"
,Some College,,,,
,,Not working,"7,004","6,604","6,950"
,,part time,"5,114","4,552","4,127"
,,full time,"17,005","18,314","18,984"
,1 or more,,,,
,,Not working,"12,431","14,498","12,721"
,,part time,"8,705","8,103","8,241"
,,full time,"34,289","31,372","35,177"
,Associate,,,,
,,Not working,"6,021","5,649","6,139"
,,part time,"2,617","3,770","3,843"
,,full time,"18,494","19,321","20,318"
,Bachelor's,,,,
,,Not working,"14,022","13,386","15,562"
,,part time,"8,894","8,209","6,876"
,,full time,"60,659","60,427","63,977"
,Master's,,,,
,,Not working,"7,267","7,252","8,693"
,,part time,"3,726","4,045","4,673"
,,full time,"27,106","31,975","31,250"
,Professional,,,,
,,Not working,949,"1,276","1,670"
,,part time,582,662,425
,,full time,"5,679","4,875","4,860"
,Doctoral,,,,
,,Not working,"1,247","1,001","1,379"
,,part time,751,545,740
,,full time,"5,643","6,641","7,771"
Poverty as a percentage of the Federal poverty level,,,,,
,0-25,,,,
,,Not working,"13,650","12,379","12,393"
,,part time,"3,263","3,500","2,891"
,,full time,"1,420","2,582","3,184"
,26-50,,,,
,,Not working,"2,238","1,967","2,834"
,,part time,965,458,"1,707"
,,full time,"1,571","1,995","2,000"
,51-75,,,,
,,Not working,"5,474","5,696","4,936"
,,part time,826,975,930
,,full time,"2,201","2,392","1,613"
,76-100,,,,
,,Not working,"6,375","5,424","6,653"
,,part time,"1,264","2,150","1,592"
,,full time,"2,875","3,240","3,302"
,100-500,,,,
,,Not working,"109,910","109,133","106,060"
,,part time,"23,227","22,957","22,459"
,,full time,"107,992","99,382","96,386"
,501,,,,
,,Not working,"66,112","70,688","77,222"
,,part time,"17,386","18,910","18,127"
,,full time,"119,701","127,325","133,971"
