Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Frederick County, Maryland",2640,,"2,640",,
,Change,,Median Household Income,"Frederick County, Maryland",2787,,"2,787",,
2017,Employment Status By Disability Status,Employed,Disabled,"Frederick County, Maryland",6778,,"6,778",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",115358,,"115,358",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",736,,736,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",5717,,"5,717",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",7514,,"7,514",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",121075,,"121,075",,
2016,Employment Status By Disability Status,Employed,Disabled,"Frederick County, Maryland",6528,,"6,528",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",114206,,"114,206",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",776,,776,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",5764,,"5,764",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",7304,,"7,304",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",119970,,"119,970",,
2015,Employment Status By Disability Status,Employed,Disabled,"Frederick County, Maryland",6573,,"6,573",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",112843,,"112,843",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",928,,928,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",6246,,"6,246",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",7501,,"7,501",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",119089,,"119,089",,
2017,Employment Status By Education,Employed,Less than Highschool,"Frederick County, Maryland",5067,,"5,067",,
2017,Employment Status By Education,Employed,Highschool,"Frederick County, Maryland",22558,,"22,558",,
2017,Employment Status By Education,Employed,Some College,"Frederick County, Maryland",31234,,"31,234",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Frederick County, Maryland",49383,,"49,383",,
