Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Garrett County, Maryland",-161,, (161),,
,Change,,Median Household Income,"Garrett County, Maryland",1897,," 1,897 ",,
2017,Employment Status By Disability Status,Employed,Disabled,"Garrett County, Maryland",707,, 707 ,,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Garrett County, Maryland",12006,," 12,006 ",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Garrett County, Maryland",102,, 102 ,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Garrett County, Maryland",556,, 556 ,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Garrett County, Maryland",809,, 809 ,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Garrett County, Maryland",12562,," 12,562 ",,
2016,Employment Status By Disability Status,Employed,Disabled,"Garrett County, Maryland",746,, 746 ,,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Garrett County, Maryland",12030,," 12,030 ",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Garrett County, Maryland",164,, 164 ,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Garrett County, Maryland",599,, 599 ,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Garrett County, Maryland",910,, 910 ,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Garrett County, Maryland",12629,," 12,629 ",,
2015,Employment Status By Disability Status,Employed,Disabled,"Garrett County, Maryland",575,, 575 ,,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Garrett County, Maryland",12101,," 12,101 ",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Garrett County, Maryland",196,, 196 ,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Garrett County, Maryland",766,, 766 ,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Garrett County, Maryland",771,, 771 ,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Garrett County, Maryland",12867,," 12,867 ",,
2017,Employment Status By Education,Employed,Less than Highschool,"Garrett County, Maryland",579,, 579 ,,
2017,Employment Status By Education,Employed,Highschool,"Garrett County, Maryland",4423,," 4,423 ",,
2017,Employment Status By Education,Employed,Some College,"Garrett County, Maryland",3377,," 3,377 ",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Garrett County, Maryland",2604,," 2,604 ",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Garrett County, Maryland",71,, 71 ,,
2017,Employment Status By Education,Unemployed,Highschool,"Garrett County, Maryland",213,, 213 ,,
2017,Employment Status By Education,Unemployed,Some College,"Garrett County, Maryland",170,, 170 ,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Garrett County, Maryland",38,, 38 ,,
2017,Employment Status By Education,NIL,Less than Highschool,"Garrett County, Maryland",497,, 497 ,,
2017,Employment Status By Education,NIL,Highschool,"Garrett County, Maryland",1971,," 1,971 ",,
2017,Employment Status By Education,NIL,Some College,"Garrett County, Maryland",908,, 908 ,,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Garrett County, Maryland",401,, 401 ,,
2016,Employment Status By Education,Employed,Less than Highschool,"Garrett County, Maryland",722,, 722 ,,
2016,Employment Status By Education,Employed,Highschool,"Garrett County, Maryland",4389,," 4,389 ",,
2016,Employment Status By Education,Employed,Some College,"Garrett County, Maryland",3412,," 3,412 ",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Garrett County, Maryland",2489,," 2,489 ",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Garrett County, Maryland",64,, 64 ,,
2016,Employment Status By Education,Unemployed,Highschool,"Garrett County, Maryland",298,, 298 ,,
2016,Employment Status By Education,Unemployed,Some College,"Garrett County, Maryland",231,, 231 ,,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Garrett County, Maryland",54,, 54 ,,
