Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Harford County, Maryland",356,,356,,
,Change,,Median Household Income,"Harford County, Maryland",2393,,"2,393",,
2017,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5594,,"5,594",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",114771,,"114,771",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",870,,870,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",5424,,"5,424",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6464,,"6,464",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",120195,,"120,195",,
2016,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5471,,"5,471",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",113773,,"113,773",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",917,,917,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",6215,,"6,215",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6388,,"6,388",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",119988,,"119,988",,
2015,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5355,,"5,355",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",113641,,"113,641",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",1032,,"1,032",,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",6806,,"6,806",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6387,,"6,387",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",120447,,"120,447",,
2017,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",4061,,"4,061",,
2017,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",24097,,"24,097",,
2017,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33614,,"33,614",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",44131,,"44,131",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",451,,451,,
2017,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1582,,"1,582",,
2017,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1458,,"1,458",,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1011,,"1,011",,
2017,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2829,,"2,829",,
2017,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7159,,"7,159",,
2017,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7563,,"7,563",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5470,,"5,470",,
2016,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",4028,,"4,028",,
2016,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",24973,,"24,973",,
2016,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33325,,"33,325",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",42535,,"42,535",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",590,,590,,
2016,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1611,,"1,611",,
2016,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1799,,"1,799",,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1091,,"1,091",,
2016,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2856,,"2,856",,
2016,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7337,,"7,337",,
2016,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7627,,"7,627",,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5730,,"5,730",,
2015,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",3857,,"3,857",,
2015,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",25096,,"25,096",,
2015,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33750,,"33,750",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",42214,,"42,214",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",715,,715,,
2015,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1806,,"1,806",,
2015,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1953,,"1,953",,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1170,,"1,170",,
2015,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2586,,"2,586",,
2015,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7454,,"7,454",,
2015,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7678,,"7,678",,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5519,,"5,519",,
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Harford County, Maryland",130333,,"130,333",,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",5885,,"5,885",,
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Harford County, Maryland",124746,,"124,746",,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4327,,"4,327",,
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Harford County, Maryland",5587,,"5,587",,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1558,,"1,558",,
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Harford County, Maryland",130051,,"130,051",,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",5941,,"5,941",,
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Harford County, Maryland",123547,,"123,547",,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4339,,"4,339",,
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Harford County, Maryland",6504,,"6,504",,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1602,,"1,602",,
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Harford County, Maryland",68183,,"68,183",,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",6226,,"6,226",,
