Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Howard County, Maryland",4048,," 4,048 ",,
,Change,,Median Household Income,"Howard County, Maryland",1776,," 1,776 ",,
2017,Employment Status By Disability Status,Employed,Disabled,"Howard County, Maryland",5114,," 5,114 ",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",151330,," 151,330 ",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",676,, 676 ,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",5771,," 5,771 ",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5790,," 5,790 ",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",157101,," 157,101 ",,
2016,Employment Status By Disability Status,Employed,Disabled,"Howard County, Maryland",4669,," 4,669 ",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",150169,," 150,169 ",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",808,, 808 ,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",6221,," 6,221 ",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5477,," 5,477 ",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",156390,," 156,390 ",,
2015,Employment Status By Disability Status,Employed,Disabled,"Howard County, Maryland",4622,," 4,622 ",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",148530,," 148,530 ",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",691,, 691 ,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",6833,," 6,833 ",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5313,," 5,313 ",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",155363,," 155,363 ",,
2017,Employment Status By Education,Employed,Less than Highschool,"Howard County, Maryland",3843,," 3,843 ",,
2017,Employment Status By Education,Employed,Highschool,"Howard County, Maryland",15808,," 15,808 ",,
2017,Employment Status By Education,Employed,Some College,"Howard County, Maryland",26700,," 26,700 ",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",94809,," 94,809 ",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Howard County, Maryland",243,, 243 ,,
2017,Employment Status By Education,Unemployed,Highschool,"Howard County, Maryland",1031,," 1,031 ",,
2017,Employment Status By Education,Unemployed,Some College,"Howard County, Maryland",1622,," 1,622 ",,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",1966,," 1,966 ",,
2017,Employment Status By Education,NIL,Less than Highschool,"Howard County, Maryland",2363,," 2,363 ",,
2017,Employment Status By Education,NIL,Highschool,"Howard County, Maryland",4301,," 4,301 ",,
2017,Employment Status By Education,NIL,Some College,"Howard County, Maryland",5315,," 5,315 ",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11741,," 11,741 ",,
2016,Employment Status By Education,Employed,Less than Highschool,"Howard County, Maryland",3670,," 3,670 ",,
2016,Employment Status By Education,Employed,Highschool,"Howard County, Maryland",15909,," 15,909 ",,
2016,Employment Status By Education,Employed,Some College,"Howard County, Maryland",26498,," 26,498 ",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",93650,," 93,650 ",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Howard County, Maryland",242,, 242 ,,
2016,Employment Status By Education,Unemployed,Highschool,"Howard County, Maryland",1169,," 1,169 ",,
2016,Employment Status By Education,Unemployed,Some College,"Howard County, Maryland",1792,," 1,792 ",,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",2109,," 2,109 ",,
2016,Employment Status By Education,NIL,Less than Highschool,"Howard County, Maryland",2127,," 2,127 ",,
2016,Employment Status By Education,NIL,Highschool,"Howard County, Maryland",4358,," 4,358 ",,
2016,Employment Status By Education,NIL,Some College,"Howard County, Maryland",5406,," 5,406 ",,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11476,," 11,476 ",,
2015,Employment Status By Education,Employed,Less than Highschool,"Howard County, Maryland",3871,," 3,871 ",,
2015,Employment Status By Education,Employed,Highschool,"Howard County, Maryland",16106,," 16,106 ",,
2015,Employment Status By Education,Employed,Some College,"Howard County, Maryland",26461,," 26,461 ",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",92198,," 92,198 ",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Howard County, Maryland",238,, 238 ,,
2015,Employment Status By Education,Unemployed,Highschool,"Howard County, Maryland",1227,," 1,227 ",,
2015,Employment Status By Education,Unemployed,Some College,"Howard County, Maryland",1829,," 1,829 ",,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",2563,," 2,563 ",,
2015,Employment Status By Education,NIL,Less than Highschool,"Howard County, Maryland",2143,," 2,143 ",,
2015,Employment Status By Education,NIL,Highschool,"Howard County, Maryland",4139,," 4,139 ",,
2015,Employment Status By Education,NIL,Some College,"Howard County, Maryland",5560,," 5,560 ",,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11408,," 11,408 ",,
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Howard County, Maryland",169200,," 169,200 ",,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5616,," 5,616 ",,
