Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Kent County, Maryland",-153,, (153),,
,Change,,Median Household Income,"Kent County, Maryland",1610,," 1,610 ",,
2017,Employment Status By Disability Status,Employed,Disabled,"Kent County, Maryland",322,, 322 ,,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Kent County, Maryland",7745,," 7,745 ",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Kent County, Maryland",34,, 34 ,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Kent County, Maryland",381,, 381 ,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Kent County, Maryland",356,, 356 ,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Kent County, Maryland",8126,," 8,126 ",,
2016,Employment Status By Disability Status,Employed,Disabled,"Kent County, Maryland",345,, 345 ,,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Kent County, Maryland",7802,," 7,802 ",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Kent County, Maryland",25,, 25 ,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Kent County, Maryland",479,, 479 ,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Kent County, Maryland",370,, 370 ,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Kent County, Maryland",8281,," 8,281 ",,
2015,Employment Status By Disability Status,Employed,Disabled,"Kent County, Maryland",422,, 422 ,,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Kent County, Maryland",7657,," 7,657 ",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Kent County, Maryland",43,, 43 ,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Kent County, Maryland",618,, 618 ,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Kent County, Maryland",465,, 465 ,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Kent County, Maryland",8275,," 8,275 ",,
2017,Employment Status By Education,Employed,Less than Highschool,"Kent County, Maryland",655,, 655 ,,
2017,Employment Status By Education,Employed,Highschool,"Kent County, Maryland",1796,," 1,796 ",,
2017,Employment Status By Education,Employed,Some College,"Kent County, Maryland",1795,," 1,795 ",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Kent County, Maryland",2415,," 2,415 ",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Kent County, Maryland",62,, 62 ,,
2017,Employment Status By Education,Unemployed,Highschool,"Kent County, Maryland",88,, 88 ,,
2017,Employment Status By Education,Unemployed,Some College,"Kent County, Maryland",91,, 91 ,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Kent County, Maryland",40,, 40 ,,
2017,Employment Status By Education,NIL,Less than Highschool,"Kent County, Maryland",396,, 396 ,,
2017,Employment Status By Education,NIL,Highschool,"Kent County, Maryland",603,, 603 ,,
2017,Employment Status By Education,NIL,Some College,"Kent County, Maryland",491,, 491 ,,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Kent County, Maryland",556,, 556 ,,
2016,Employment Status By Education,Employed,Less than Highschool,"Kent County, Maryland",629,, 629 ,,
2016,Employment Status By Education,Employed,Highschool,"Kent County, Maryland",2053,," 2,053 ",,
2016,Employment Status By Education,Employed,Some College,"Kent County, Maryland",1826,," 1,826 ",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Kent County, Maryland",2247,," 2,247 ",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Kent County, Maryland",75,, 75 ,,
2016,Employment Status By Education,Unemployed,Highschool,"Kent County, Maryland",116,, 116 ,,
2016,Employment Status By Education,Unemployed,Some College,"Kent County, Maryland",96,, 96 ,,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Kent County, Maryland",53,, 53 ,,
2016,Employment Status By Education,NIL,Less than Highschool,"Kent County, Maryland",338,, 338 ,,
2016,Employment Status By Education,NIL,Highschool,"Kent County, Maryland",686,, 686 ,,
2016,Employment Status By Education,NIL,Some College,"Kent County, Maryland",445,, 445 ,,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Kent County, Maryland",547,, 547 ,,
2015,Employment Status By Education,Employed,Less than Highschool,"Kent County, Maryland",577,, 577 ,,
2015,Employment Status By Education,Employed,Highschool,"Kent County, Maryland",2101,," 2,101 ",,
2015,Employment Status By Education,Employed,Some College,"Kent County, Maryland",1917,," 1,917 ",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Kent County, Maryland",2137,," 2,137 ",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Kent County, Maryland",63,, 63 ,,
2015,Employment Status By Education,Unemployed,Highschool,"Kent County, Maryland",223,, 223 ,,
2015,Employment Status By Education,Unemployed,Some College,"Kent County, Maryland",128,, 128 ,,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Kent County, Maryland",59,, 59 ,,
2015,Employment Status By Education,NIL,Less than Highschool,"Kent County, Maryland",373,, 373 ,,
2015,Employment Status By Education,NIL,Highschool,"Kent County, Maryland",641,, 641 ,,
2015,Employment Status By Education,NIL,Some College,"Kent County, Maryland",445,, 445 ,,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Kent County, Maryland",498,, 498 ,,
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Kent County, Maryland",8323,," 8,323 ",,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Kent County, Maryland",802,, 802 ,,
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Kent County, Maryland",7974,," 7,974 ",,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Kent County, Maryland",694,, 694 ,,
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Kent County, Maryland",349,, 349 ,,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Kent County, Maryland",108,, 108 ,,
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Kent County, Maryland",8451,," 8,451 ",,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Kent County, Maryland",788,, 788 ,,
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Kent County, Maryland",8014,," 8,014 ",,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Kent County, Maryland",685,, 685 ,,
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Kent County, Maryland",437,, 437 ,,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Kent County, Maryland",103,, 103 ,,
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Kent County, Maryland",4711,," 4,711 ",,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Kent County, Maryland",666,, 666 ,,
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Kent County, Maryland",4366,," 4,366 ",,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Kent County, Maryland",513,, 513 ,,
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Kent County, Maryland",345,, 345 ,,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Kent County, Maryland",153,, 153 ,,
2017,Median Household Income,,,"Kent County, Maryland",56638,," $56,638 ",,
2016,Median Household Income,,,"Kent County, Maryland",55028,," $55,028 ",,
2015,Median Household Income,,,"Kent County, Maryland",58147,," $58,147 ",,
2017,Total Population,,,"Kent County, Maryland",19666,," 19,666 ",,
2016,Total Population,,,"Kent County, Maryland",19819,," 19,819 ",,
2015,Total Population,,,"Kent County, Maryland",19923,," 19,923 ",,
2017,Unemployment By Gender,,Male,"Kent County, Maryland",5.6,0.056, 0.056 ,,
2017,Unemployment By Gender,,Female,"Kent County, Maryland",4.3,0.043, 0.043 ,,
2016,Unemployment By Gender,,Male,"Kent County, Maryland",6.6,0.066, 0.066 ,,
2016,Unemployment By Gender,,Female,"Kent County, Maryland",4.8,0.048, 0.048 ,,
2015,Unemployment By Gender,,Male,"Kent County, Maryland",8.6,0.086, 0.086 ,,
2015,Unemployment By Gender,,Female,"Kent County, Maryland",6.4,0.064, 0.064 ,,
2017,Unemployment By Race,,White,"Kent County, Maryland",4.1,0.041, 0.041 ,,
2017,Unemployment By Race,,Black,"Kent County, Maryland",9.3,0.093, 0.093 ,,
2017,Unemployment By Race,,Asian,"Kent County, Maryland",0,0, -   ,,
2017,Unemployment By Race,,Hispanic,"Kent County, Maryland",5.3,0.053, 0.053 ,,
2016,Unemployment By Race,,White,"Kent County, Maryland",4.6,0.046, 0.046 ,,
2016,Unemployment By Race,,Black,"Kent County, Maryland",12.7,0.127, 0.127 ,,
2016,Unemployment By Race,,Asian,"Kent County, Maryland",1,0.01, 0.010 ,,
2016,Unemployment By Race,,Hispanic,"Kent County, Maryland",2.9,0.029, 0.029 ,,
2015,Unemployment By Race,,White,"Kent County, Maryland",6.4,0.064, 0.064 ,,
2015,Unemployment By Race,,Black,"Kent County, Maryland",13.1,0.131, 0.131 ,,
2015,Unemployment By Race,,Asian,"Kent County, Maryland",2,0.02, 0.020 ,,
2015,Unemployment By Race,,Hispanic,"Kent County, Maryland",2.7,0.027, 0.027 ,,
2017,Unemployment By Veteran Status,,Veteran,"Kent County, Maryland",7.6,0.076, 0.076 ,,
2017,Unemployment By Veteran Status,,Non Veteran,"Kent County, Maryland",4.9,0.049, 0.049 ,,
2016,Unemployment By Veteran Status,,Veteran,"Kent County, Maryland",4.4,0.044, 0.044 ,,
2016,Unemployment By Veteran Status,,Non Veteran,"Kent County, Maryland",5.8,0.058, 0.058 ,,
2015,Unemployment By Veteran Status,,Veteran,"Kent County, Maryland",12.6,0.126, 0.126 ,,
2015,Unemployment By Veteran Status,,Non Veteran,"Kent County, Maryland",7.6,0.076, 0.076 ,,
2015Q1,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",19,, 19 ,,19
2015Q2,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",22,, 22 ,,22
2015Q3,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",15,, 15 ,,15
2015Q4,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",25,, 25 ,,25
2016Q1,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",22,, 22 ,,22
2016Q2,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",19,, 19 ,,19
2016Q3,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",27,, 27 ,,27
2016Q4,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",20,, 20 ,,20
2015Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.046296,0.046,4.63%,,0.046
2015Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.022472,0.022,2.25%,,0.022
2015Q3,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.105263,0.105,10.53%,0.105263,10.50%
2015Q4,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.034483,0.034,3.45%,0.034483,3.40%
2016Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.032258,0.032,3.23%,0.032258,3.20%
2016Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.025316,0.025,2.53%,0.025316,2.50%
2016Q3,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.018349,0.018,1.83%,0.018349,1.80%
2016Q4,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.004348,0.004,0.43%,0.004348,0.40%
2017Q1,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",11,, 11 ,,11
2017Q2,Number of TANF Recipient Workers,Employed,,"Kent County, Maryland",8,, 8 ,,8
2017Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.007937,, 0 ,0.007937,0.80%
2017Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Kent County, Maryland",0.011583,, 0 ,0.011583,1.20%
2016Q3,Percentage of TANF Recipients among Maryland Workers,Employed,,"Kent County, Maryland",0.003293,, 0 ,0.003293,0.33%
