Work Experience amongst Maryland Workers,,,2015,2016,2017,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,
,,Not working,"376,637","375,372","385,803",,,,,,,,,,,,
,,part time,"67,954","68,391","69,152",,,,,,,,,,,,
,,full time,"545,889","552,717","559,483",,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,
,,Not working,"478,960","488,802","484,106",,,,,,,,,,,,
,,part time,"118,248","125,203","128,756",,,,,,,,,,,,
,,full time,"470,162","461,579","471,464",,,,,,,,,,,,
Race,,,,,,,,,,,,,,,,,
,White,,,,,,,,,,,,,,,,
,,Not working,"461,372","467,520","449,874",,,,,,,,,,,,
,,part time,"111,691","113,362","113,074",,,,,,,,,,,,
,,full time,"559,741","567,323","553,567",,,,,,,,,,,,
,Black,,,,,,,,,,,,,,,,
,,Not working,"156,563","155,210","161,110",,,,,,,,,,,,
,,part time,"30,820","35,478","35,628",,,,,,,,,,,,
,,full time,"177,754","183,760","187,745",,,,,,,,,,,,
,American Indian or Alaska Native,,,,,,,,,,,,,,,,
,,Not working,"2,059","2,364","2,811",,,,,,,,,,,,
,,part time,"1,388",701,637,,,,,,,,,,,,
,,full time,"3,932","2,642","3,618",,,,,,,,,,,,
,Chinese,,,,,,,,,,,,,,,,
,,Not working,"38,873","36,663","38,190",,,,,,,,,,,,
,,part time,"5,383","6,691","6,598",,,,,,,,,,,,
,,full time,"46,931","45,378","46,169",,,,,,,,,,,,
,Japanese,,,,,,,,,,,,,,,,
,,Not working,"2,877","3,702","2,790",,,,,,,,,,,,
,,part time,478,438,446,,,,,,,,,,,,
,,full time,"2,475","2,969","2,366",,,,,,,,,,,,
,Other Asian,,,,,,,,,,,,,,,,
,,Not working,"81,077","86,049","86,804",,,,,,,,,,,,
,,part time,"15,919","16,262","18,769",,,,,,,,,,,,
,,full time,"108,836","107,243","110,690",,,,,,,,,,,,
,Other Race,,,,,,,,,,,,,,,,
,,Not working,"67,296","63,067","79,883",,,,,,,,,,,,
,,part time,"13,029","13,351","15,702",,,,,,,,,,,,
,,full time,"84,976","79,549","96,692",,,,,,,,,,,,
,Two Major,,,,,,,,,,,,,,,,
,,Not working,"40,942","44,449","42,028",,,,,,,,,,,,
,,part time,"6,751","6,751","6,040",,,,,,,,,,,,
,,full time,"26,497","22,796","26,473",,,,,,,,,,,,
,Three or More,,,,,,,,,,,,,,,,
,,Not working,"4,538","5,150","6,419",,,,,,,,,,,,
,,part time,743,560,"1,014",,,,,,,,,,,,
