Work Experience amongst Maryland Workers,,,2015,2016,2017
Gender,,,,,
,Male,,,,
,,Not working,"347,078","346,067","344,467"
,,part time,"66,319","65,090","64,567"
,,full time,"453,286","456,966","466,932"
,Female,,,,
,,Not working,"411,330","408,346","407,407"
,,part time,"81,821","82,968","87,653"
,,full time,"442,037","445,474","445,835"
Race,,,,,
,White,,,,
,,Not working,"140,037","141,899","129,803"
,,part time,"34,051","32,600","31,958"
,,full time,"162,088","157,228","155,506"
,Black,,,,
,,Not working,"471,742","466,925","457,494"
,,part time,"86,969","88,889","90,706"
,,full time,"576,029","584,648","591,698"
,American Indian or Alaska Native,,,,
,,Not working,"2,416","3,232","3,542"
,,part time,918,643,554
,,full time,"3,528","2,420","2,785"
,Chinese,,,,
,,Not working,"6,967","8,126","6,190"
,,part time,"2,072","3,048","1,943"
,,full time,"3,847","6,998","4,917"
,Japanese,,,,
,,Not working,793,395,656
,,part time,0,137,28
,,full time,381,333,297
,Other Asian,,,,
,,Not working,"24,900","20,611","24,792"
,,part time,"7,550","5,266","7,059"
,,full time,"32,272","29,754","32,047"
,Other Race,,,,
,,Not working,"88,018","85,789","103,286"
,,part time,"12,618","12,834","15,415"
,,full time,"98,102","96,939","107,071"
,Two Major,,,,
,,Not working,"19,351","24,435","21,927"
,,part time,"3,487","3,847","4,160"
,,full time,"15,762","20,653","15,685"
,Three or More,,,,
,,Not working,"4,184","3,001","4,184"
,,part time,475,794,397
,,full time,"3,314","3,467","2,761"
Education,,,,,
,N/A,,,,
,,Not working,"72,575","69,468","70,210"
,,part time,0,0,0
,,full time,0,0,0
,No School,,,,
,,Not working,"53,414","60,663","55,300"
,,part time,"1,024","1,712","1,843"
,,full time,"10,749","11,723","12,061"
, Less than Highschool ,,,,
,, Not working ," 341,973 "," 334,004 "," 334,327 "
,, part time ," 20,972 "," 20,436 "," 23,394 "
,, full time ," 100,106 "," 101,160 "," 92,924 "
,Regular Highschool Diploma,,,,
,,Not working,"100,758","102,817","101,480"
,,part time,"33,217","33,081","31,365"
,,full time,"195,424","196,016","210,279"
,GED,,,,
,,Not working,"12,749","15,661","13,872"
,,part time,"3,122","2,289","3,278"
,,full time,"20,947","21,786","22,629"
,Some College,,,,
,,Not working,"28,743","27,602","28,260"
,,part time,"12,791","12,585","13,012"
,,full time,"47,903","54,692","54,310"
,1 or more,,,,
,,Not working,"60,278","55,890","58,716"
,,part time,"40,064","39,215","39,901"
,,full time,"161,930","161,475","154,179"
,Associate,,,,
,,Not working,"13,943","14,851","18,306"
,,part time,"8,155","8,346","8,449"
,,full time,"57,657","52,707","56,932"
,Bachelor's,,,,
,,Not working,"44,716","42,542","44,882"
,,part time,"17,908","19,484","18,811"
,,full time,"177,891","173,832","176,069"
,Master's,,,,
,,Not working,"22,648","23,684","20,977"
,,part time,"8,355","8,828","10,023"
,,full time,"91,929","100,799","100,486"
,Professional,,,,
,,Not working,"2,931","3,265","2,794"
,,part time,"1,238","1,043","1,242"
,,full time,"13,093","14,931","16,502"
,Doctoral,,,,
,,Not working,"3,680","3,966","2,750"
,,part time,"1,294","1,039",902
,,full time,"17,694","13,319","16,396"
Poverty as a percentage of the Federal poverty level,,,,,
,0-25,,,,
,,Not working,"57,254","60,949","60,036"
,,part time,"18,724","17,514","18,104"
,,full time,"11,456","11,078","12,086"
,26-50,,,,
,,Not working,"15,173","17,278","16,296"
,,part time,"4,477","3,855","3,780"
,,full time,"6,339","5,600","5,632"
,51-75,,,,
,,Not working,"26,311","26,568","16,345"
,,part time,"4,939","4,207","4,888"
,,full time,"9,176","7,269","6,692"
,76-100,,,,
,,Not working,"29,645","30,651","27,651"
,,part time,"6,955","6,398","6,330"
,,full time,"14,047","11,339","14,161"
,100-500,,,,
,,Not working,"449,330","440,398","436,829"
,,part time,"73,181","72,200","77,514"
,,full time,"450,865","453,802","442,637"
,501,,,,
,,Not working,"180,695","178,569","194,717"
,,part time,"39,864","43,884","41,604"
,,full time,"403,440","413,352","431,559"
