Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Prince George's County, Maryland",7468,,"7,468",,
,Change,,Median Household Income,"Prince George's County, Maryland",2682,,"2,682",,
2017,Employment Status By Disability Status,Employed,Disabled,"Prince George's County, Maryland",20062,,"20,062",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Prince George's County, Maryland",429685,,"429,685",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Prince George's County, Maryland",3137,,"3,137",,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Prince George's County, Maryland",31802,,"31,802",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Prince George's County, Maryland",23199,,"23,199",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Prince George's County, Maryland",461487,,"461,487",,
2016,Employment Status By Disability Status,Employed,Disabled,"Prince George's County, Maryland",18983,,"18,983",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Prince George's County, Maryland",425020,,"425,020",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Prince George's County, Maryland",2933,,"2,933",,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Prince George's County, Maryland",35268,,"35,268",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Prince George's County, Maryland",21916,,"21,916",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Prince George's County, Maryland",460288,,"460,288",,
2015,Employment Status By Disability Status,Employed,Disabled,"Prince George's County, Maryland",17947,,"17,947",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Prince George's County, Maryland",423617,,"423,617",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Prince George's County, Maryland",2984,,"2,984",,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Prince George's County, Maryland",38695,,"38,695",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Prince George's County, Maryland",20931,,"20,931",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Prince George's County, Maryland",462312,,"462,312",,
2017,Employment Status By Education,Employed,Less than Highschool,"Prince George's County, Maryland",48513,,"48,513",,
2017,Employment Status By Education,Employed,Highschool,"Prince George's County, Maryland",93283,,"93,283",,
2017,Employment Status By Education,Employed,Some College,"Prince George's County, Maryland",114614,,"114,614",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Prince George's County, Maryland",141309,,"141,309",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Prince George's County, Maryland",3971,,"3,971",,
2017,Employment Status By Education,Unemployed,Highschool,"Prince George's County, Maryland",7842,,"7,842",,
2017,Employment Status By Education,Unemployed,Some College,"Prince George's County, Maryland",8293,,"8,293",,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Prince George's County, Maryland",5487,,"5,487",,
2017,Employment Status By Education,NIL,Less than Highschool,"Prince George's County, Maryland",15085,,"15,085",,
2017,Employment Status By Education,NIL,Highschool,"Prince George's County, Maryland",23187,,"23,187",,
2017,Employment Status By Education,NIL,Some College,"Prince George's County, Maryland",20729,,"20,729",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Prince George's County, Maryland",16356,,"16,356",,
2016,Employment Status By Education,Employed,Less than Highschool,"Prince George's County, Maryland",48775,,"48,775",,
