Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"Somerset County, Maryland",-98,,-98,,
,Change,,Median Household Income,"Somerset County, Maryland",3353,,"3,353",,
2017,Employment Status By Disability Status,Employed,Disabled,"Somerset County, Maryland",394,,394,,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Somerset County, Maryland",7365,,"7,365",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Somerset County, Maryland",98,,98,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Somerset County, Maryland",823,,823,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Somerset County, Maryland",492,,492,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Somerset County, Maryland",8188,,"8,188",,
2016,Employment Status By Disability Status,Employed,Disabled,"Somerset County, Maryland",468,,468,,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Somerset County, Maryland",7007,,"7,007",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Somerset County, Maryland",91,,91,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Somerset County, Maryland",604,,604,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Somerset County, Maryland",559,,559,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Somerset County, Maryland",7611,,"7,611",,
2015,Employment Status By Disability Status,Employed,Disabled,"Somerset County, Maryland",417,,417,,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Somerset County, Maryland",6888,,"6,888",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Somerset County, Maryland",95,,95,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Somerset County, Maryland",565,,565,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Somerset County, Maryland",512,,512,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Somerset County, Maryland",7453,,"7,453",,
2017,Employment Status By Education,Employed,Less than Highschool,"Somerset County, Maryland",560,,560,,
2017,Employment Status By Education,Employed,Highschool,"Somerset County, Maryland",2558,,"2,558",,
2017,Employment Status By Education,Employed,Some College,"Somerset County, Maryland",1956,,"1,956",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Somerset County, Maryland",1323,,"1,323",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Somerset County, Maryland",82,,82,,
2017,Employment Status By Education,Unemployed,Highschool,"Somerset County, Maryland",182,,182,,
2017,Employment Status By Education,Unemployed,Some College,"Somerset County, Maryland",160,,160,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Somerset County, Maryland",263,,263,,
2017,Employment Status By Education,NIL,Less than Highschool,"Somerset County, Maryland",1535,,"1,535",,
2017,Employment Status By Education,NIL,Highschool,"Somerset County, Maryland",2937,,"2,937",,
2017,Employment Status By Education,NIL,Some College,"Somerset County, Maryland",1265,,"1,265",,
