Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
,Change,,Total Population,"St. Mary's County, Maryland",304,,304,,
,Change,,Median Household Income,"St. Mary's County, Maryland",-302,,-302,,
2017,Employment Status By Disability Status,Employed,Disabled,"St. Mary's County, Maryland",4020,,"4,020",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"St. Mary's County, Maryland",47413,,"47,413",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"St. Mary's County, Maryland",218,,218,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"St. Mary's County, Maryland",1915,,"1,915",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"St. Mary's County, Maryland",4238,,"4,238",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"St. Mary's County, Maryland",49328,,"49,328",,
2016,Employment Status By Disability Status,Employed,Disabled,"St. Mary's County, Maryland",3747,,"3,747",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"St. Mary's County, Maryland",47533,,"47,533",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"St. Mary's County, Maryland",249,,249,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"St. Mary's County, Maryland",1972,,"1,972",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"St. Mary's County, Maryland",3996,,"3,996",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"St. Mary's County, Maryland",49505,,"49,505",,
2015,Employment Status By Disability Status,Employed,Disabled,"St. Mary's County, Maryland",3381,,"3,381",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"St. Mary's County, Maryland",47395,,"47,395",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"St. Mary's County, Maryland",184,,184,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"St. Mary's County, Maryland",2259,,"2,259",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"St. Mary's County, Maryland",3565,,"3,565",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"St. Mary's County, Maryland",49654,,"49,654",,
2017,Employment Status By Education,Employed,Less than Highschool,"St. Mary's County, Maryland",3085,,"3,085",,
2017,Employment Status By Education,Employed,Highschool,"St. Mary's County, Maryland",11997,,"11,997",,
2017,Employment Status By Education,Employed,Some College,"St. Mary's County, Maryland",14197,,"14,197",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"St. Mary's County, Maryland",15919,,"15,919",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"St. Mary's County, Maryland",274,,274,,
2017,Employment Status By Education,Unemployed,Highschool,"St. Mary's County, Maryland",312,,312,,
2017,Employment Status By Education,Unemployed,Some College,"St. Mary's County, Maryland",409,,409,,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"St. Mary's County, Maryland",351,,351,,
2017,Employment Status By Education,NIL,Less than Highschool,"St. Mary's County, Maryland",1622,,"1,622",,
2017,Employment Status By Education,NIL,Highschool,"St. Mary's County, Maryland",4662,,"4,662",,
2017,Employment Status By Education,NIL,Some College,"St. Mary's County, Maryland",3243,,"3,243",,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"St. Mary's County, Maryland",2266,,"2,266",,
2016,Employment Status By Education,Employed,Less than Highschool,"St. Mary's County, Maryland",2753,,"2,753",,
2016,Employment Status By Education,Employed,Highschool,"St. Mary's County, Maryland",12179,,"12,179",,
2016,Employment Status By Education,Employed,Some College,"St. Mary's County, Maryland",14788,,"14,788",,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"St. Mary's County, Maryland",15363,,"15,363",,
2016,Employment Status By Education,Unemployed,Less than Highschool,"St. Mary's County, Maryland",244,,244,,
2016,Employment Status By Education,Unemployed,Highschool,"St. Mary's County, Maryland",321,,321,,
2016,Employment Status By Education,Unemployed,Some College,"St. Mary's County, Maryland",349,,349,,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"St. Mary's County, Maryland",333,,333,,
2016,Employment Status By Education,NIL,Less than Highschool,"St. Mary's County, Maryland",1802,,"1,802",,
2016,Employment Status By Education,NIL,Highschool,"St. Mary's County, Maryland",4517,,"4,517",,
2016,Employment Status By Education,NIL,Some College,"St. Mary's County, Maryland",3310,,"3,310",,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"St. Mary's County, Maryland",2053,,"2,053",,
2015,Employment Status By Education,Employed,Less than Highschool,"St. Mary's County, Maryland",2339,,"2,339",,
2015,Employment Status By Education,Employed,Highschool,"St. Mary's County, Maryland",12149,,"12,149",,
2015,Employment Status By Education,Employed,Some College,"St. Mary's County, Maryland",14550,,"14,550",,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"St. Mary's County, Maryland",15561,,"15,561",,
2015,Employment Status By Education,Unemployed,Less than Highschool,"St. Mary's County, Maryland",300,,300,,
2015,Employment Status By Education,Unemployed,Highschool,"St. Mary's County, Maryland",524,,524,,
2015,Employment Status By Education,Unemployed,Some College,"St. Mary's County, Maryland",349,,349,,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"St. Mary's County, Maryland",302,,302,,
2015,Employment Status By Education,NIL,Less than Highschool,"St. Mary's County, Maryland",1606,,"1,606",,
2015,Employment Status By Education,NIL,Highschool,"St. Mary's County, Maryland",4383,,"4,383",,
2015,Employment Status By Education,NIL,Some College,"St. Mary's County, Maryland",3039,,"3,039",,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"St. Mary's County, Maryland",2203,,"2,203",,
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"St. Mary's County, Maryland",53832,,"53,832",,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"St. Mary's County, Maryland",2196,,"2,196",,
2017,Employment Status By Poverty Status,Employed,Above Poverty,"St. Mary's County, Maryland",52018,,"52,018",,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"St. Mary's County, Maryland",1636,,"1,636",,
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"St. Mary's County, Maryland",1814,,"1,814",,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"St. Mary's County, Maryland",560,,560,,
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"St. Mary's County, Maryland",54094,,"54,094",,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"St. Mary's County, Maryland",2135,,"2,135",,
2016,Employment Status By Poverty Status,Employed,Above Poverty,"St. Mary's County, Maryland",52173,,"52,173",,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"St. Mary's County, Maryland",1578,,"1,578",,
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"St. Mary's County, Maryland",1921,,"1,921",,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"St. Mary's County, Maryland",557,,557,,
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"St. Mary's County, Maryland",29485,,"29,485",,
