Work Experience amongst Maryland Workers,,,2015,2016,2017
Gender,,,,,
,Male,,,,
,,Not working,"74,744","76,188","74,254"
,,part time,"7,872","8,170","9,754"
,,full time,"69,931","68,629","68,975"
,Female,,,,
,,Not working,"74,214","77,522","75,974"
,,part time,"14,370","15,788","16,134"
,,full time,"58,110","53,774","54,916"
Race,,,,,
,White,,,,
,,Not working,"118,101","122,983","118,228"
,,part time,"19,836","20,194","22,287"
,,full time,"111,110","108,439","107,230"
,Black,,,,
,,Not working,"19,740","20,561","18,791"
,,part time,"1,615","1,672","2,214"
,,full time,"11,182","8,940","10,439"
,American Indian or Alaska Native,,,,
,,Not working,250,170,389
,,part time,5,1,0
,,full time,313,265,216
,Chinese,,,,
,,Not working,182,178,27
,,part time,60,57,148
,,full time,594,209,233
,Japanese,,,,
,,Not working,19,17,484
,,part time,15,0,0
,,full time,27,200,41
,Other Asian,,,,
,,Not working,"1,650","1,668","2,824"
,,part time,180,677,227
,,full time,"1,948","1,730","1,804"
,Other Race,,,,
,,Not working,"1,098",571,"1,629"
,,part time,159,50,214
,,full time,"1,144",404,"1,827"
,Two Major,,,,
,,Not working,"7,506","7,132","7,198"
,,part time,333,"1,286",627
,,full time,"1,560","2,079","2,017"
,Three or More,,,,
,,Not working,412,430,658
,,part time,39,21,171
,,full time,163,137,84
Education,,,,,
,N/A,,,,
,,Not working,"9,386","8,904","9,450"
,,part time,0,0,0
,,full time,0,0,0
,No School,,,,
,,Not working,"9,070","9,928","8,442"
,,part time,70,161,744
,,full time,347,732,302
,Nursery,,,,
,,Not working,"3,019","3,718","3,561"
,,part time,0,0,0
,,full time,0,0,0
,Kindergarten,,,,
,,Not working,"4,064","4,824","4,155"
,,part time,0,227,39
,,full time,0,0,0
,Grade 1,,,,
,,Not working,"3,659","3,061","2,914"
,,part time,0,0,0
,,full time,0,0,0
,Grade 2,,,,
,,Not working,"4,595","4,579","3,637"
,,part time,0,0,0
,,full time,17,14,87
,Grade 3,,,,
,,Not working,"3,855","4,479","4,028"
,,part time,0,0,0
,,full time,39,180,38
,Grade 4,,,,
,,Not working,"4,774","3,235","3,208"
,,part time,0,0,0
,,full time,18,7,7
,Grade 5,,,,
,,Not working,"3,465","3,580","5,110"
,,part time,28,29,0
,,full time,0,0,0
,Grade 6,,,,
,,Not working,"4,559","4,428","3,700"
,,part time,0,0,0
,,full time,67,151,259
,Grade 7 ,,,,
,,Not working,"3,765","4,453","5,232"
,,part time,20,0,0
,,full time,214,47,43
,Grade 8 ,,,,
,,Not working,"6,284","6,928","6,775"
,,part time,585,311,137
,,full time,199,206,660
,Grade 9 ,,,,
,,Not working,"7,125","6,740","5,919"
,,part time,358,220,348
,,full time,"1,072","1,857","2,179"
,Grade 10,,,,
,,Not working,"9,092","7,105","6,176"
,,part time,827,"1,261","1,780"
,,full time,"2,700","3,115","2,679"
,Grade 11,,,,
,,Not working,"7,247","6,835","7,442"
,,part time,902,"1,162","2,004"
,,full time,"2,301","1,786","3,069"
,Grade 12,,,,
,,Not working,"1,773","3,437","1,948"
,,part time,298,747,425
,,full time,"1,299","1,621","1,237"
,Regular Highschool Diploma,,,,
,,Not working,"28,814","28,517","28,599"
,,part time,"6,465","5,616","8,111"
,,full time,"45,118","41,175","34,128"
,GED,,,,
,,Not working,"5,968","7,616","7,195"
,,part time,695,906,412
,,full time,"4,126","6,653","3,818"
,Some College,,,,
,,Not working,"5,689","7,934","7,128"
,,part time,"2,720","2,439","2,180"
,,full time,"9,922","10,199","11,919"
,1 or more,,,,
,,Not working,"9,004","9,361","9,223"
,,part time,"3,685","4,474","3,998"
,,full time,"18,810","17,304","16,856"
,Associate,,,,
,,Not working,"4,465","3,647","4,976"
,,part time,"1,765","2,043","2,251"
,,full time,"11,590","10,258","12,535"
,Bachelor's,,,,
,,Not working,"5,771","5,945","6,338"
,,part time,"2,738","2,836","2,325"
,,full time,"19,586","17,547","21,391"
,Master's,,,,
,,Not working,"2,685","3,622","4,266"
,,part time,"1,028","1,482",889
,,full time,"8,936","7,630","10,422"
,Professional,,,,
,,Not working,610,603,480
,,part time,42,41,216
,,full time,900,937,"1,156"
,Doctoral,,,,
,,Not working,220,231,326
,,part time,16,3,29
,,full time,780,984,"1,106"
Poverty as a percentage of the Federal poverty level,,,,,
,0-25,,,,
,,Not working,"23,874","25,056","22,402"
,,part time,930,670,"1,416"
,,full time,"3,625","2,259","2,351"
,26-50,,,,
,,Not working,"4,220","4,914","5,613"
,,part time,673,977,"1,370"
,,full time,852,557,"1,249"
,51-75,,,,
,,Not working,"6,705","6,604","8,917"
,,part time,445,446,991
,,full time,"1,600","1,842","1,929"
,76-100,,,,
,,Not working,"8,090","6,913","5,644"
,,part time,849,"1,299","1,321"
,,full time,"2,836","3,054","1,920"
,100-500,,,,
,,Not working,"83,621","89,572","83,182"
,,part time,"12,994","15,276","14,305"
,,full time,"75,528","75,570","69,181"
,501,,,,
,,Not working,"22,448","20,651","24,470"
,,part time,"6,351","5,290","6,485"
,,full time,"43,600","39,121","47,261"
