Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate, Format ,,
,Change,,Total Population,"Worcester County, Maryland",118,,118,,
,Change,,Median Household Income,"Worcester County, Maryland",2231,,"2,231",,
2017,Employment Status By Disability Status,Employed,Disabled,"Worcester County, Maryland",1040,,"1,040",,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Worcester County, Maryland",20081,,"20,081",,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Worcester County, Maryland",235,,235,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Worcester County, Maryland",1400,,"1,400",,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Worcester County, Maryland",1275,,"1,275",,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Worcester County, Maryland",21481,,"21,481",,
2016,Employment Status By Disability Status,Employed,Disabled,"Worcester County, Maryland",1079,,"1,079",,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Worcester County, Maryland",20129,,"20,129",,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Worcester County, Maryland",321,,321,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Worcester County, Maryland",1461,,"1,461",,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Worcester County, Maryland",1400,,"1,400",,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Worcester County, Maryland",21590,,"21,590",,
2015,Employment Status By Disability Status,Employed,Disabled,"Worcester County, Maryland",1232,,"1,232",,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Worcester County, Maryland",19460,,"19,460",,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Worcester County, Maryland",281,,281,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Worcester County, Maryland",1978,,"1,978",,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Worcester County, Maryland",1513,,"1,513",,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Worcester County, Maryland",21438,,"21,438",,
2017,Employment Status By Education,Employed,Less than Highschool,"Worcester County, Maryland",1119,,"1,119",,
2017,Employment Status By Education,Employed,Highschool,"Worcester County, Maryland",5514,,"5,514",,
2017,Employment Status By Education,Employed,Some College,"Worcester County, Maryland",5650,,"5,650",,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Worcester County, Maryland",6662,,"6,662",,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Worcester County, Maryland",261,,261,,
2017,Employment Status By Education,Unemployed,Highschool,"Worcester County, Maryland",398,,398,,
2017,Employment Status By Education,Unemployed,Some College,"Worcester County, Maryland",351,,351,,
