Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,Formatted for charts
,Change,,Total Population,"Allegany County, Maryland",-469,,-469
,Change,,Median Household Income,"Allegany County, Maryland",1212,,"1,212"
2016,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2569,,"2,569"
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",27995,,"27,995"
2016,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2034,,"2,034"
2016,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",25638,,"25,638"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",535,,535
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2357,,"2,357"
2017,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2632,,"2,632"
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",27162,,"27,162"
2017,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2030,,"2,030"
2017,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",25048,,"25,048"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",602,,602
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2114,,"2,114"
2015,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2017,,"2,017"
2015,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",26061,,"26,061"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",580,,580
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2595,,"2,595"
2015,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2597,,"2,597"
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",28656,,"28,656"
2017,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",984,,984
2017,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",7563,,"7,563"
2017,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",8108,,"8,108"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5818,,"5,818"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",125,,125
2017,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",915,,915
2017,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",652,,652
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",122,,122
2017,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2195,,"2,195"
2017,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5625,,"5,625"
2017,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3159,,"3,159"
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1173,,"1,173"
2016,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",1004,,"1,004"
2016,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",8026,,"8,026"
2016,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",7912,,"7,912"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5845,,"5,845"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",133,,133
2016,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",891,,891
2016,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",715,,715
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",189,,189
2016,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2165,,"2,165"
2016,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5653,,"5,653"
2016,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3162,,"3,162"
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1158,,"1,158"
2015,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",1092,,"1,092"
2015,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",8141,,"8,141"
2015,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",7970,,"7,970"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5874,,"5,874"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",150,,150
2015,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",940,,940
2015,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",888,,888
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",193,,193
2015,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2348,,"2,348"
2015,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5588,,"5,588"
2015,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3049,,"3,049"
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1124,,"1,124"
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Allegany County, Maryland",27796,,"27,796"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3254,,"3,254"
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Allegany County, Maryland",26193,,"26,193"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2180,,"2,180"
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Allegany County, Maryland",1603,,"1,603"
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1074,,"1,074"
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Allegany County, Maryland",28271,,"28,271"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3597,,"3,597"
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Allegany County, Maryland",26534,,"26,534"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2456,,"2,456"
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Allegany County, Maryland",1737,,"1,737"
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1141,,"1,141"
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Allegany County, Maryland",15119,,"15,119"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3827,,"3,827"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Allegany County, Maryland",13903,,"13,903"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2658,,"2,658"
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Allegany County, Maryland",1216,,"1,216"
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1169,,"1,169"
2017,Median Household Income,,,"Allegany County, Maryland",42771,,"$42,771 "
2016,Median Household Income,,,"Allegany County, Maryland",41559,,"$41,559 "
2015,Median Household Income,,,"Allegany County, Maryland",40551,,"$40,551 "
2017,Total Population,,,"Allegany County, Maryland",72591,,"72,591"
2016,Total Population,,,"Allegany County, Maryland",73060,,"73,060"
2015,Total Population,,,"Allegany County, Maryland",73549,,"73,549"
2017,Unemployment By Gender,,Male,"Allegany County, Maryland",9.6,0.096,9.60%
2017,Unemployment By Gender,,Female,"Allegany County, Maryland",6.8,0.068,6.80%
2016,Unemployment By Gender,,Male,"Allegany County, Maryland",10.3,0.103,10.30%
2016,Unemployment By Gender,,Female,"Allegany County, Maryland",7.1,0.071,7.10%
2015,Unemployment By Gender,,Male,"Allegany County, Maryland",10.7,0.107,10.70%
2015,Unemployment By Gender,,Female,"Allegany County, Maryland",7.9,0.079,7.90%
2016,Unemployment By Race,,White,"Allegany County, Maryland",8.7,0.087,8.70%
2016,Unemployment By Race,,Black,"Allegany County, Maryland",25.8,0.258,25.80%
2016,Unemployment By Race,,Asian,"Allegany County, Maryland",14,0.14,14.00%
2016,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.5,0.185,18.50%
2017,Unemployment By Race,,White,"Allegany County, Maryland",8.4,0.084,8.40%
2017,Unemployment By Race,,Black,"Allegany County, Maryland",26,0.26,26.00%
2017,Unemployment By Race,,Asian,"Allegany County, Maryland",12.4,0.124,12.40%
2017,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.4,0.184,18.40%
2015,Unemployment By Race,,White,"Allegany County, Maryland",9.1,0.091,9.10%
2015,Unemployment By Race,,Black,"Allegany County, Maryland",29.1,0.291,29.10%
2015,Unemployment By Race,,Asian,"Allegany County, Maryland",5.7,0.057,5.70%
2015,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.2,0.182,18.20%
2017,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",10.7,0.107,10.70%
2017,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",9.1,0.091,9.10%
2016,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",12,0.12,12.00%
2016,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",9.5,0.095,9.50%
2015,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",11.4,0.114,11.40%
2015,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",10.2,0.102,10.20%
,Change,,Total Population,"Anne Arundel County, Maryland",4863,,"4,863.00"
,Change,,Median Household Income,"Anne Arundel County, Maryland",2584,,"2,584.00"
2017,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",13194,,"13,194.00"
2017,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",256870,,"256,870.00"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1986,,"1,986.00"
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",12263,,"12,263.00"
2017,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",15180,,"15,180.00"
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",269133,,"269,133.00"
2016,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",12139,,"12,139.00"
2016,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",254591,,"254,591.00"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1904,,"1,904.00"
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",13349,,"13,349.00"
2016,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",14043,,"14,043.00"
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",267940,,"267,940.00"
2015,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",11771,,"11,771.00"
2015,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",253175,,"253,175.00"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1933,,"1,933.00"
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",14434,,"14,434.00"
2015,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",13704,,"13,704.00"
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",267609,,"267,609.00"
