Data Source,Time,Location,Indicator,IndicatorValue,Employment Status,Amount,Unemployment Rate,,Percentage,Format for charts,,
ACS,2007-2011,"Allegany County, Maryland",Employed Individuals by Education,Less than high school graduate,Employed,1014,,,,"1,014",,
ACS,2007-2011,"Allegany County, Maryland",Employed Individuals by Education,High school graduate (includes equivalency),Employed,9378,,,,"9,378",,
ACS,2007-2011,"Allegany County, Maryland",Employed Individuals by Education,Some college or associate's degree,Employed,7954,,,,"7,954",,
ACS,2007-2011,"Allegany County, Maryland",Employed Individuals by Education,Bachelor's degree or higher,Employed,5324,,,,"5,324",,
ACS,2012-2016,"Allegany County, Maryland",Employed Individuals by Education,Less than high school graduate,Employed,1004,,,,"1,004",,
ACS,2012-2016,"Allegany County, Maryland",Employed Individuals by Education,High school graduate (includes equivalency),Employed,8026,,,,"8,026",,
ACS,2012-2016,"Allegany County, Maryland",Employed Individuals by Education,Some college or associate's degree,Employed,7912,,,,"7,912",,
ACS,2012-2016,"Allegany County, Maryland",Employed Individuals by Education,Bachelor's degree or higher,Employed,5845,,,,"5,845",,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Gender,Total Population 20 to 64 years,Unemployment Rate,7.6,0.076,,,7.6,,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Gender,Male,Unemployment Rate,8.3,0.083,,,8.3,,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Gender,Female,Unemployment Rate,6.7,0.067,,,6.7,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Gender,Total Population 20 to 64 years,Unemployment Rate,8.8,0.088,,,8.8,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Gender,Male,Unemployment Rate,10.3,0.103,,,10.3,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Gender,Female,Unemployment Rate,7.1,0.071,,,7.1,,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Race/Ethnicity,White,Unemployment Rate,7.6,0.076,,,7.6,,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Race/Ethnicity,Black,Unemployment Rate,18.8,0.188,,,18.8,,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Race/Ethnicity,Asian,Unemployment Rate,3.8,0.038,,,3.8,,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Race/Ethnicity,Hispanic,Unemployment Rate,7,0.07,,,7,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Race/Ethnicity,White,Unemployment Rate,8.7,0.087,,,8.7,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Race/Ethnicity,Black,Unemployment Rate,25.8,0.258,,,25.8,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Race/Ethnicity,Asian,Unemployment Rate,14,0.14,,,14,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Race/Ethnicity,Hispanic,Unemployment Rate,18.5,0.185,,,18.5,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Veteran Status,Veteran,Unemployment Rate,12,0.12,,,12,,
ACS,2012-2016,"Allegany County, Maryland",Unemplolyment Rate by Veteran Status,Non Veteran,Unemployment Rate,9.3,0.093,,,9.3,,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Veteran Status,Veteran,Unemployment Rate,5.2,0.052,,,5.2,,
ACS,2007-2011,"Allegany County, Maryland",Unemplolyment Rate by Veteran Status,Non Veteran,Unemployment Rate,8.5,0.085,,,8.5,,
LAUS,2017,"Allegany County, MD",Not Seasonally Adjusted Annual Average,Labor Force,Labor Force,32421,,,,"32,421",,
