Data Source,Time,Location,Indicator,IndicatorValue,Employment Status,Amount,Unemployment Rate,,Percentage,Format for charts,,
ACS,2007-2011,"Anne Arundel County, Maryland",Employed Individuals by Education,Less than high school graduate,Employed,12486,,,,"12,486",,
ACS,2007-2011,"Anne Arundel County, Maryland",Employed Individuals by Education,High school graduate (includes equivalency),Employed,52699,,,,"52,699",,
ACS,2007-2011,"Anne Arundel County, Maryland",Employed Individuals by Education,Some college or associate's degree,Employed,67828,,,,"67,828",,
ACS,2007-2011,"Anne Arundel County, Maryland",Employed Individuals by Education,Bachelor's degree or higher,Employed,94044,,,,"94,044",,
ACS,2012-2016,"Anne Arundel County, Maryland",Employed Individuals by Education,Less than high school graduate,Employed,11246,,,,"11,246",,
ACS,2012-2016,"Anne Arundel County, Maryland",Employed Individuals by Education,High school graduate (includes equivalency),Employed,50548,,,,"50,548",,
ACS,2012-2016,"Anne Arundel County, Maryland",Employed Individuals by Education,Some college or associate's degree,Employed,67314,,,,"67,314",,
ACS,2012-2016,"Anne Arundel County, Maryland",Employed Individuals by Education,Bachelor's degree or higher,Employed,108401,,,,"108,401",,
ACS,2007-2011,"Anne Arundel County, Maryland",Unemplolyment Rate by Gender,Total Population 20 to 64 years,Unemployment Rate,5.3,0.053,,,5.3,,
ACS,2007-2011,"Anne Arundel County, Maryland",Unemplolyment Rate by Gender,Male,Unemployment Rate,5.5,0.055,,,5.5,,
ACS,2007-2011,"Anne Arundel County, Maryland",Unemplolyment Rate by Gender,Female,Unemployment Rate,5.2,0.052,,,5.2,,
ACS,2012-2016,"Anne Arundel County, Maryland",Unemplolyment Rate by Gender,Total Population 20 to 64 years,Unemployment Rate,5.2,0.052,,,5.2,,
ACS,2012-2016,"Anne Arundel County, Maryland",Unemplolyment Rate by Gender,Male,Unemployment Rate,5.3,0.053,,,5.3,,
ACS,2012-2016,"Anne Arundel County, Maryland",Unemplolyment Rate by Gender,Female,Unemployment Rate,5,0.05,,,5,,
ACS,2007-2011,"Anne Arundel County, Maryland",Unemplolyment Rate by Race/Ethnicity,White,Unemployment Rate,5.4,0.054,,,5.4,,
ACS,2007-2011,"Anne Arundel County, Maryland",Unemplolyment Rate by Race/Ethnicity,Black,Unemployment Rate,9.3,0.093,,,9.3,,
ACS,2007-2011,"Anne Arundel County, Maryland",Unemplolyment Rate by Race/Ethnicity,Asian,Unemployment Rate,5.5,0.055,,,5.5,,
ACS,2007-2011,"Anne Arundel County, Maryland",Unemplolyment Rate by Race/Ethnicity,Hispanic,Unemployment Rate,7.4,0.074,,,7.4,,
ACS,2012-2016,"Anne Arundel County, Maryland",Unemplolyment Rate by Race/Ethnicity,White,Unemployment Rate,5.1,0.051,,,5.1,,
