Data Source,Time,Location,Indicator,IndicatorValue,Employment Status,Amount,Unemployment Rate,,Percentage,Format for charts,,
ACS,2007-2011,Maryland -- Maryland Statewide,Employed Individuals by Education,Less than high school graduate,Employed,175268,,,,"175,268",,
ACS,2007-2011,Maryland -- Maryland Statewide,Employed Individuals by Education,High school graduate (includes equivalency),Employed,560845,,,,"560,845",,
ACS,2007-2011,Maryland -- Maryland Statewide,Employed Individuals by Education,Some college or associate's degree,Employed,670885,,,,"670,885",,
ACS,2007-2011,Maryland -- Maryland Statewide,Employed Individuals by Education,Bachelor's degree or higher,Employed,1016086,   ,,,"1,016,086",,
ACS,2012-2016,Maryland -- Maryland Statewide,Employed Individuals by Education,Less than high school graduate,Employed,169448,,,,"169,448",,
ACS,2012-2016,Maryland -- Maryland Statewide,Employed Individuals by Education,High school graduate (includes equivalency),Employed,547904,,,,"547,904",,
ACS,2012-2016,Maryland -- Maryland Statewide,Employed Individuals by Education,Some college or associate's degree,Employed,664086,,,,"664,086",,
ACS,2012-2016,Maryland -- Maryland Statewide,Employed Individuals by Education,Bachelor's degree or higher,Employed,1108725,,,,"1,108,725",,
ACS,2007-2011,Maryland -- Maryland Statewide,Unemplolyment Rate by Gender,Male,Unemployment Rate,7,0.07,,,7,,
ACS,2007-2011,Maryland -- Maryland Statewide,Unemplolyment Rate by Gender,Female,Unemployment Rate,6.1,0.061,,,6.1,,
ACS,2012-2016,Maryland -- Maryland Statewide,Unemplolyment Rate by Gender,Male,Unemployment Rate,6.4,0.064,,,6.4,,
ACS,2012-2016,Maryland -- Maryland Statewide,Unemplolyment Rate by Gender,Female,Unemployment Rate,6.1,0.061,,,6.1,,
ACS,2007-2011,Maryland -- Maryland Statewide,Unemplolyment Rate by Race/Ethnicity,White,Unemployment Rate,5.5,0.055,,,5.5,,
ACS,2007-2011,Maryland -- Maryland Statewide,Unemplolyment Rate by Race/Ethnicity,Black,Unemployment Rate,11,0.11,,,11,,
ACS,2007-2011,Maryland -- Maryland Statewide,Unemplolyment Rate by Race/Ethnicity,Asian,Unemployment Rate,4.7,0.047,,,4.7,,
ACS,2007-2011,Maryland -- Maryland Statewide,Unemplolyment Rate by Race/Ethnicity,Hispanic,Unemployment Rate,8.2,0.082,,,8.2,,
ACS,2012-2016,Maryland -- Maryland Statewide,Unemplolyment Rate by Race/Ethnicity,White,Unemployment Rate,5.1,0.051,,,5.1,,
ACS,2012-2016,Maryland -- Maryland Statewide,Unemplolyment Rate by Race/Ethnicity,Black,Unemployment Rate,10.2,0.102,,,10.2,,
ACS,2012-2016,Maryland -- Maryland Statewide,Unemplolyment Rate by Race/Ethnicity,Asian,Unemployment Rate,4.7,0.047,,,4.7,,
ACS,2012-2016,Maryland -- Maryland Statewide,Unemplolyment Rate by Race/Ethnicity,Hispanic,Unemployment Rate,6.5,0.065,,,6.5,,
ACS,2012-2016,Maryland -- Maryland Statewide,Unemplolyment Rate by Veteran Status,Veteran,Unemployment Rate,5,0.05,,,5,,
ACS,2012-2016,Maryland -- Maryland Statewide,Unemplolyment Rate by Veteran Status,Nonveteran,Unemployment Rate,6.7,0.067,,,6.7,,
ACS,2007-2011,Maryland -- Maryland Statewide,Unemplolyment Rate by Veteran Status,Veteran,Unemployment Rate,4.9,0.049,,,4.9,,
ACS,2007-2011,Maryland -- Maryland Statewide,Unemplolyment Rate by Veteran Status,Nonveteran,Unemployment Rate,7.2,0.072,,,7.2,,
LAUS ,2017,Maryland -- Maryland Statewide,Not Seasonally Adjusted Annual Average,Labor Force,Labor Force,3227320,,,,"3,227,320",,
